claim_id,is_fraud,fraud_indicator_notes
CLM-000082,1.0,Confirmed fraud indicators found in review
CLM-000083,0.0,"Reviewed, no fraud indicators found"
CLM-000084,0.0,"Reviewed, no fraud indicators found"
CLM-000085,0.0,"Reviewed, no fraud indicators found"
CLM-000086,0.0,"Reviewed, no fraud indicators found"
CLM-000087,0.0,"Reviewed, no fraud indicators found"
CLM-000088,0.0,"Reviewed, no fraud indicators found"
CLM-000089,1.0,Confirmed fraud indicators found in review
CLM-000090,1.0,Confirmed fraud indicators found in review
CLM-000091,0.0,"Reviewed, no fraud indicators found"
CLM-000092,0.0,"Reviewed, no fraud indicators found"
CLM-000093,0.0,"Reviewed, no fraud indicators found"
CLM-000094,0.0,"Reviewed, no fraud indicators found"
CLM-000095,0.0,"Reviewed, no fraud indicators found"
CLM-000096,0.0,"Reviewed, no fraud indicators found"
CLM-000097,0.0,"Reviewed, no fraud indicators found"
CLM-000098,0.0,"Reviewed, no fraud indicators found"
CLM-000099,0.0,"Reviewed, no fraud indicators found"
CLM-000100,1.0,Confirmed fraud indicators found in review
CLM-000101,0.0,"Reviewed, no fraud indicators found"
CLM-000102,0.0,"Reviewed, no fraud indicators found"
CLM-000103,0.0,"Reviewed, no fraud indicators found"
CLM-000104,0.0,"Reviewed, no fraud indicators found"
CLM-000105,0.0,"Reviewed, no fraud indicators found"
CLM-000106,,
CLM-000107,,
CLM-000108,0.0,"Reviewed, no fraud indicators found"
CLM-000109,0.0,"Reviewed, no fraud indicators found"
CLM-000110,1.0,Confirmed fraud indicators found in review
CLM-000111,0.0,"Reviewed, no fraud indicators found"
CLM-000112,0.0,"Reviewed, no fraud indicators found"
CLM-000113,1.0,Confirmed fraud indicators found in review
CLM-000114,0.0,"Reviewed, no fraud indicators found"
CLM-000115,1.0,Confirmed fraud indicators found in review
CLM-000116,,
CLM-000117,0.0,"Reviewed, no fraud indicators found"
CLM-000118,0.0,"Reviewed, no fraud indicators found"
CLM-000119,0.0,"Reviewed, no fraud indicators found"
CLM-000120,0.0,"Reviewed, no fraud indicators found"
CLM-000121,1.0,Confirmed fraud indicators found in review
CLM-000122,0.0,"Reviewed, no fraud indicators found"
CLM-000123,0.0,"Reviewed, no fraud indicators found"
CLM-000124,0.0,"Reviewed, no fraud indicators found"
CLM-000125,,
CLM-000126,1.0,Confirmed fraud indicators found in review
CLM-000127,0.0,"Reviewed, no fraud indicators found"
CLM-000128,0.0,"Reviewed, no fraud indicators found"
CLM-000129,0.0,"Reviewed, no fraud indicators found"
CLM-000130,1.0,Confirmed fraud indicators found in review
CLM-000131,0.0,"Reviewed, no fraud indicators found"
CLM-000132,0.0,"Reviewed, no fraud indicators found"
CLM-000133,0.0,"Reviewed, no fraud indicators found"
CLM-000134,0.0,"Reviewed, no fraud indicators found"
CLM-000135,,
CLM-000136,0.0,"Reviewed, no fraud indicators found"
CLM-000137,0.0,"Reviewed, no fraud indicators found"
CLM-000138,0.0,"Reviewed, no fraud indicators found"
CLM-000139,0.0,"Reviewed, no fraud indicators found"
CLM-000140,0.0,"Reviewed, no fraud indicators found"
CLM-000141,1.0,Confirmed fraud indicators found in review
CLM-000142,1.0,Confirmed fraud indicators found in review
CLM-000143,0.0,"Reviewed, no fraud indicators found"
CLM-000144,0.0,"Reviewed, no fraud indicators found"
CLM-000145,1.0,Confirmed fraud indicators found in review
CLM-000146,0.0,"Reviewed, no fraud indicators found"
CLM-000147,0.0,"Reviewed, no fraud indicators found"
CLM-000148,0.0,"Reviewed, no fraud indicators found"
CLM-000149,,
CLM-000150,0.0,"Reviewed, no fraud indicators found"
CLM-000151,0.0,"Reviewed, no fraud indicators found"
CLM-000152,0.0,"Reviewed, no fraud indicators found"
CLM-000153,0.0,"Reviewed, no fraud indicators found"
CLM-000154,0.0,"Reviewed, no fraud indicators found"
CLM-000155,0.0,"Reviewed, no fraud indicators found"
CLM-000156,,
CLM-000157,0.0,"Reviewed, no fraud indicators found"
CLM-000158,,
CLM-000159,0.0,"Reviewed, no fraud indicators found"
CLM-000160,1.0,Confirmed fraud indicators found in review
CLM-000161,0.0,"Reviewed, no fraud indicators found"
CLM-000162,0.0,"Reviewed, no fraud indicators found"
CLM-000163,0.0,"Reviewed, no fraud indicators found"
CLM-000164,0.0,"Reviewed, no fraud indicators found"
CLM-000165,0.0,"Reviewed, no fraud indicators found"
CLM-000166,0.0,"Reviewed, no fraud indicators found"
CLM-000167,0.0,"Reviewed, no fraud indicators found"
CLM-000168,0.0,"Reviewed, no fraud indicators found"
CLM-000169,0.0,"Reviewed, no fraud indicators found"
CLM-000170,0.0,"Reviewed, no fraud indicators found"
CLM-000171,0.0,"Reviewed, no fraud indicators found"
CLM-000172,0.0,"Reviewed, no fraud indicators found"
CLM-000173,0.0,"Reviewed, no fraud indicators found"
CLM-000174,0.0,"Reviewed, no fraud indicators found"
CLM-000175,,
CLM-000176,0.0,"Reviewed, no fraud indicators found"
CLM-000177,0.0,"Reviewed, no fraud indicators found"
CLM-000178,0.0,"Reviewed, no fraud indicators found"
CLM-000179,0.0,"Reviewed, no fraud indicators found"
CLM-000180,0.0,"Reviewed, no fraud indicators found"
CLM-000181,0.0,"Reviewed, no fraud indicators found"
CLM-000182,0.0,"Reviewed, no fraud indicators found"
CLM-000183,0.0,"Reviewed, no fraud indicators found"
CLM-000184,0.0,"Reviewed, no fraud indicators found"
CLM-000185,,
CLM-000186,,
CLM-000187,0.0,"Reviewed, no fraud indicators found"
CLM-000188,0.0,"Reviewed, no fraud indicators found"
CLM-000189,0.0,"Reviewed, no fraud indicators found"
CLM-000190,0.0,"Reviewed, no fraud indicators found"
CLM-000191,0.0,"Reviewed, no fraud indicators found"
CLM-000192,0.0,"Reviewed, no fraud indicators found"
CLM-000193,0.0,"Reviewed, no fraud indicators found"
CLM-000194,0.0,"Reviewed, no fraud indicators found"
CLM-000195,0.0,"Reviewed, no fraud indicators found"
CLM-000196,0.0,"Reviewed, no fraud indicators found"
CLM-000197,0.0,"Reviewed, no fraud indicators found"
CLM-000198,,
CLM-000199,0.0,"Reviewed, no fraud indicators found"
CLM-000200,0.0,"Reviewed, no fraud indicators found"
CLM-000201,0.0,"Reviewed, no fraud indicators found"
CLM-000202,0.0,"Reviewed, no fraud indicators found"
CLM-000203,0.0,"Reviewed, no fraud indicators found"
CLM-000204,0.0,"Reviewed, no fraud indicators found"
CLM-000205,0.0,"Reviewed, no fraud indicators found"
CLM-000206,0.0,"Reviewed, no fraud indicators found"
CLM-000207,0.0,"Reviewed, no fraud indicators found"
CLM-000208,0.0,"Reviewed, no fraud indicators found"
CLM-000209,0.0,"Reviewed, no fraud indicators found"
CLM-000210,,
CLM-000211,0.0,"Reviewed, no fraud indicators found"
CLM-000212,0.0,"Reviewed, no fraud indicators found"
CLM-000213,0.0,"Reviewed, no fraud indicators found"
CLM-000214,,
CLM-000215,1.0,Confirmed fraud indicators found in review
CLM-000216,,
CLM-000217,0.0,"Reviewed, no fraud indicators found"
CLM-000218,0.0,"Reviewed, no fraud indicators found"
CLM-000219,0.0,"Reviewed, no fraud indicators found"
CLM-000220,0.0,"Reviewed, no fraud indicators found"
CLM-000221,0.0,"Reviewed, no fraud indicators found"
CLM-000222,0.0,"Reviewed, no fraud indicators found"
CLM-000223,0.0,"Reviewed, no fraud indicators found"
CLM-000224,0.0,"Reviewed, no fraud indicators found"
CLM-000225,0.0,"Reviewed, no fraud indicators found"
CLM-000226,0.0,"Reviewed, no fraud indicators found"
CLM-000227,0.0,"Reviewed, no fraud indicators found"
CLM-000228,0.0,"Reviewed, no fraud indicators found"
CLM-000229,0.0,"Reviewed, no fraud indicators found"
CLM-000230,0.0,"Reviewed, no fraud indicators found"
CLM-000231,,
CLM-000232,0.0,"Reviewed, no fraud indicators found"
CLM-000233,0.0,"Reviewed, no fraud indicators found"
CLM-000234,0.0,"Reviewed, no fraud indicators found"
CLM-000235,0.0,"Reviewed, no fraud indicators found"
CLM-000236,0.0,"Reviewed, no fraud indicators found"
CLM-000237,0.0,"Reviewed, no fraud indicators found"
CLM-000238,0.0,"Reviewed, no fraud indicators found"
CLM-000239,0.0,"Reviewed, no fraud indicators found"
CLM-000240,1.0,Confirmed fraud indicators found in review
CLM-000241,0.0,"Reviewed, no fraud indicators found"
CLM-000242,,
CLM-000243,0.0,"Reviewed, no fraud indicators found"
CLM-000244,0.0,"Reviewed, no fraud indicators found"
CLM-000245,0.0,"Reviewed, no fraud indicators found"
CLM-000246,0.0,"Reviewed, no fraud indicators found"
CLM-000247,0.0,"Reviewed, no fraud indicators found"
CLM-000248,1.0,Confirmed fraud indicators found in review
CLM-000249,,
CLM-000250,0.0,"Reviewed, no fraud indicators found"
CLM-000251,1.0,Confirmed fraud indicators found in review
CLM-000252,0.0,"Reviewed, no fraud indicators found"
CLM-000253,,
CLM-000254,0.0,"Reviewed, no fraud indicators found"
CLM-000255,1.0,Confirmed fraud indicators found in review
CLM-000256,0.0,"Reviewed, no fraud indicators found"
CLM-000257,0.0,"Reviewed, no fraud indicators found"
CLM-000258,0.0,"Reviewed, no fraud indicators found"
CLM-000259,0.0,"Reviewed, no fraud indicators found"
CLM-000260,0.0,"Reviewed, no fraud indicators found"
CLM-000261,0.0,"Reviewed, no fraud indicators found"
CLM-000262,0.0,"Reviewed, no fraud indicators found"
CLM-000263,1.0,Confirmed fraud indicators found in review
CLM-000264,0.0,"Reviewed, no fraud indicators found"
CLM-000265,1.0,Confirmed fraud indicators found in review
CLM-000266,1.0,Confirmed fraud indicators found in review
CLM-000267,0.0,"Reviewed, no fraud indicators found"
CLM-000268,0.0,"Reviewed, no fraud indicators found"
CLM-000269,0.0,"Reviewed, no fraud indicators found"
CLM-000270,0.0,"Reviewed, no fraud indicators found"
CLM-000271,0.0,"Reviewed, no fraud indicators found"
CLM-000272,0.0,"Reviewed, no fraud indicators found"
CLM-000273,0.0,"Reviewed, no fraud indicators found"
CLM-000274,0.0,"Reviewed, no fraud indicators found"
CLM-000275,1.0,Confirmed fraud indicators found in review
CLM-000276,0.0,"Reviewed, no fraud indicators found"
CLM-000277,0.0,"Reviewed, no fraud indicators found"
CLM-000278,0.0,"Reviewed, no fraud indicators found"
CLM-000279,0.0,"Reviewed, no fraud indicators found"
CLM-000280,0.0,"Reviewed, no fraud indicators found"
CLM-000281,0.0,"Reviewed, no fraud indicators found"
CLM-000282,0.0,"Reviewed, no fraud indicators found"
CLM-000283,0.0,"Reviewed, no fraud indicators found"
CLM-000284,0.0,"Reviewed, no fraud indicators found"
CLM-000285,1.0,Confirmed fraud indicators found in review
CLM-000286,0.0,"Reviewed, no fraud indicators found"
CLM-000287,1.0,Confirmed fraud indicators found in review
CLM-000288,1.0,Confirmed fraud indicators found in review
CLM-000289,0.0,"Reviewed, no fraud indicators found"
CLM-000290,,
CLM-000291,0.0,"Reviewed, no fraud indicators found"
CLM-000292,0.0,"Reviewed, no fraud indicators found"
CLM-000293,0.0,"Reviewed, no fraud indicators found"
CLM-000294,1.0,Confirmed fraud indicators found in review
CLM-000295,0.0,"Reviewed, no fraud indicators found"
CLM-000296,0.0,"Reviewed, no fraud indicators found"
CLM-000297,0.0,"Reviewed, no fraud indicators found"
CLM-000298,1.0,Confirmed fraud indicators found in review
CLM-000299,0.0,"Reviewed, no fraud indicators found"
CLM-000300,0.0,"Reviewed, no fraud indicators found"
CLM-000301,0.0,"Reviewed, no fraud indicators found"
CLM-000302,1.0,Confirmed fraud indicators found in review
CLM-000303,0.0,"Reviewed, no fraud indicators found"
CLM-000304,0.0,"Reviewed, no fraud indicators found"
CLM-000305,1.0,Confirmed fraud indicators found in review
CLM-000306,0.0,"Reviewed, no fraud indicators found"
CLM-000307,0.0,"Reviewed, no fraud indicators found"
CLM-000308,0.0,"Reviewed, no fraud indicators found"
CLM-000309,0.0,"Reviewed, no fraud indicators found"
CLM-000310,0.0,"Reviewed, no fraud indicators found"
CLM-000311,0.0,"Reviewed, no fraud indicators found"
CLM-000312,0.0,"Reviewed, no fraud indicators found"
CLM-000313,0.0,"Reviewed, no fraud indicators found"
CLM-000314,0.0,"Reviewed, no fraud indicators found"
CLM-000315,0.0,"Reviewed, no fraud indicators found"
CLM-000316,0.0,"Reviewed, no fraud indicators found"
CLM-000317,0.0,"Reviewed, no fraud indicators found"
CLM-000318,0.0,"Reviewed, no fraud indicators found"
CLM-000319,0.0,"Reviewed, no fraud indicators found"
CLM-000320,,
CLM-000321,1.0,Confirmed fraud indicators found in review
CLM-000322,,
CLM-000323,0.0,"Reviewed, no fraud indicators found"
CLM-000324,0.0,"Reviewed, no fraud indicators found"
CLM-000325,0.0,"Reviewed, no fraud indicators found"
CLM-000326,0.0,"Reviewed, no fraud indicators found"
CLM-000327,0.0,"Reviewed, no fraud indicators found"
CLM-000328,0.0,"Reviewed, no fraud indicators found"
CLM-000329,0.0,"Reviewed, no fraud indicators found"
CLM-000330,1.0,Confirmed fraud indicators found in review
CLM-000331,0.0,"Reviewed, no fraud indicators found"
CLM-000332,0.0,"Reviewed, no fraud indicators found"
CLM-000333,1.0,Confirmed fraud indicators found in review
CLM-000334,,
CLM-000335,0.0,"Reviewed, no fraud indicators found"
CLM-000336,0.0,"Reviewed, no fraud indicators found"
CLM-000337,,
CLM-000338,0.0,"Reviewed, no fraud indicators found"
CLM-000339,0.0,"Reviewed, no fraud indicators found"
CLM-000340,1.0,Confirmed fraud indicators found in review
CLM-000341,0.0,"Reviewed, no fraud indicators found"
CLM-000342,0.0,"Reviewed, no fraud indicators found"
CLM-000343,0.0,"Reviewed, no fraud indicators found"
CLM-000344,0.0,"Reviewed, no fraud indicators found"
CLM-000345,0.0,"Reviewed, no fraud indicators found"
CLM-000346,0.0,"Reviewed, no fraud indicators found"
CLM-000347,0.0,"Reviewed, no fraud indicators found"
CLM-000348,,
CLM-000349,0.0,"Reviewed, no fraud indicators found"
CLM-000350,0.0,"Reviewed, no fraud indicators found"
CLM-000351,0.0,"Reviewed, no fraud indicators found"
CLM-000352,1.0,Confirmed fraud indicators found in review
CLM-000353,0.0,"Reviewed, no fraud indicators found"
CLM-000354,0.0,"Reviewed, no fraud indicators found"
CLM-000355,0.0,"Reviewed, no fraud indicators found"
CLM-000356,,
CLM-000357,0.0,"Reviewed, no fraud indicators found"
CLM-000358,0.0,"Reviewed, no fraud indicators found"
CLM-000359,0.0,"Reviewed, no fraud indicators found"
CLM-000360,,
CLM-000361,,
CLM-000362,0.0,"Reviewed, no fraud indicators found"
CLM-000363,0.0,"Reviewed, no fraud indicators found"
CLM-000364,1.0,Confirmed fraud indicators found in review
CLM-000365,0.0,"Reviewed, no fraud indicators found"
CLM-000366,0.0,"Reviewed, no fraud indicators found"
CLM-000367,0.0,"Reviewed, no fraud indicators found"
CLM-000368,0.0,"Reviewed, no fraud indicators found"
CLM-000369,0.0,"Reviewed, no fraud indicators found"
CLM-000370,,
CLM-000371,0.0,"Reviewed, no fraud indicators found"
CLM-000372,,
CLM-000373,0.0,"Reviewed, no fraud indicators found"
CLM-000374,0.0,"Reviewed, no fraud indicators found"
CLM-000375,0.0,"Reviewed, no fraud indicators found"
CLM-000376,0.0,"Reviewed, no fraud indicators found"
CLM-000377,0.0,"Reviewed, no fraud indicators found"
CLM-000378,0.0,"Reviewed, no fraud indicators found"
CLM-000379,0.0,"Reviewed, no fraud indicators found"
CLM-000380,,
CLM-000381,0.0,"Reviewed, no fraud indicators found"
CLM-000382,0.0,"Reviewed, no fraud indicators found"
CLM-000383,0.0,"Reviewed, no fraud indicators found"
CLM-000384,0.0,"Reviewed, no fraud indicators found"
CLM-000385,0.0,"Reviewed, no fraud indicators found"
CLM-000386,0.0,"Reviewed, no fraud indicators found"
CLM-000387,,
CLM-000388,0.0,"Reviewed, no fraud indicators found"
CLM-000389,1.0,Confirmed fraud indicators found in review
CLM-000390,1.0,Confirmed fraud indicators found in review
CLM-000391,0.0,"Reviewed, no fraud indicators found"
CLM-000392,0.0,"Reviewed, no fraud indicators found"
CLM-000393,0.0,"Reviewed, no fraud indicators found"
CLM-000394,0.0,"Reviewed, no fraud indicators found"
CLM-000395,1.0,Confirmed fraud indicators found in review
CLM-000396,0.0,"Reviewed, no fraud indicators found"
CLM-000397,1.0,Confirmed fraud indicators found in review
CLM-000398,0.0,"Reviewed, no fraud indicators found"
CLM-000399,0.0,"Reviewed, no fraud indicators found"
CLM-000400,0.0,"Reviewed, no fraud indicators found"
CLM-000401,0.0,"Reviewed, no fraud indicators found"
CLM-000402,0.0,"Reviewed, no fraud indicators found"
CLM-000403,0.0,"Reviewed, no fraud indicators found"
CLM-000404,0.0,"Reviewed, no fraud indicators found"
CLM-000405,0.0,"Reviewed, no fraud indicators found"
CLM-000406,0.0,"Reviewed, no fraud indicators found"
CLM-000407,0.0,"Reviewed, no fraud indicators found"
CLM-000408,1.0,Confirmed fraud indicators found in review
CLM-000409,0.0,"Reviewed, no fraud indicators found"
CLM-000410,0.0,"Reviewed, no fraud indicators found"
CLM-000411,0.0,"Reviewed, no fraud indicators found"
CLM-000412,0.0,"Reviewed, no fraud indicators found"
CLM-000413,,
CLM-000414,0.0,"Reviewed, no fraud indicators found"
CLM-000415,0.0,"Reviewed, no fraud indicators found"
CLM-000416,0.0,"Reviewed, no fraud indicators found"
CLM-000417,0.0,"Reviewed, no fraud indicators found"
CLM-000418,0.0,"Reviewed, no fraud indicators found"
CLM-000419,0.0,"Reviewed, no fraud indicators found"
CLM-000420,1.0,Confirmed fraud indicators found in review
CLM-000421,,
CLM-000422,0.0,"Reviewed, no fraud indicators found"
CLM-000423,0.0,"Reviewed, no fraud indicators found"
CLM-000424,0.0,"Reviewed, no fraud indicators found"
CLM-000425,0.0,"Reviewed, no fraud indicators found"
CLM-000426,0.0,"Reviewed, no fraud indicators found"
CLM-000427,0.0,"Reviewed, no fraud indicators found"
CLM-000428,0.0,"Reviewed, no fraud indicators found"
CLM-000429,0.0,"Reviewed, no fraud indicators found"
CLM-000430,0.0,"Reviewed, no fraud indicators found"
CLM-000431,,
CLM-000432,0.0,"Reviewed, no fraud indicators found"
CLM-000433,0.0,"Reviewed, no fraud indicators found"
CLM-000434,0.0,"Reviewed, no fraud indicators found"
CLM-000435,0.0,"Reviewed, no fraud indicators found"
CLM-000436,1.0,Confirmed fraud indicators found in review
CLM-000437,0.0,"Reviewed, no fraud indicators found"
CLM-000438,0.0,"Reviewed, no fraud indicators found"
CLM-000439,0.0,"Reviewed, no fraud indicators found"
CLM-000440,0.0,"Reviewed, no fraud indicators found"
CLM-000441,1.0,Confirmed fraud indicators found in review
CLM-000442,0.0,"Reviewed, no fraud indicators found"
CLM-000443,0.0,"Reviewed, no fraud indicators found"
CLM-000444,0.0,"Reviewed, no fraud indicators found"
CLM-000445,0.0,"Reviewed, no fraud indicators found"
CLM-000446,0.0,"Reviewed, no fraud indicators found"
CLM-000447,0.0,"Reviewed, no fraud indicators found"
CLM-000448,0.0,"Reviewed, no fraud indicators found"
CLM-000449,0.0,"Reviewed, no fraud indicators found"
CLM-000450,0.0,"Reviewed, no fraud indicators found"
CLM-000451,0.0,"Reviewed, no fraud indicators found"
CLM-000452,,
CLM-000453,0.0,"Reviewed, no fraud indicators found"
CLM-000454,1.0,Confirmed fraud indicators found in review
CLM-000455,0.0,"Reviewed, no fraud indicators found"
CLM-000456,0.0,"Reviewed, no fraud indicators found"
CLM-000457,1.0,Confirmed fraud indicators found in review
CLM-000458,0.0,"Reviewed, no fraud indicators found"
CLM-000459,0.0,"Reviewed, no fraud indicators found"
CLM-000460,0.0,"Reviewed, no fraud indicators found"
CLM-000461,0.0,"Reviewed, no fraud indicators found"
CLM-000462,0.0,"Reviewed, no fraud indicators found"
CLM-000463,0.0,"Reviewed, no fraud indicators found"
CLM-000464,0.0,"Reviewed, no fraud indicators found"
CLM-000465,1.0,Confirmed fraud indicators found in review
CLM-000466,0.0,"Reviewed, no fraud indicators found"
CLM-000467,0.0,"Reviewed, no fraud indicators found"
CLM-000468,0.0,"Reviewed, no fraud indicators found"
CLM-000469,0.0,"Reviewed, no fraud indicators found"
CLM-000470,0.0,"Reviewed, no fraud indicators found"
CLM-000471,0.0,"Reviewed, no fraud indicators found"
CLM-000472,0.0,"Reviewed, no fraud indicators found"
CLM-000473,1.0,Confirmed fraud indicators found in review
CLM-000474,0.0,"Reviewed, no fraud indicators found"
CLM-000475,0.0,"Reviewed, no fraud indicators found"
CLM-000476,1.0,Confirmed fraud indicators found in review
CLM-000477,0.0,"Reviewed, no fraud indicators found"
CLM-000478,0.0,"Reviewed, no fraud indicators found"
CLM-000479,0.0,"Reviewed, no fraud indicators found"
CLM-000480,0.0,"Reviewed, no fraud indicators found"
CLM-000481,0.0,"Reviewed, no fraud indicators found"
CLM-000482,0.0,"Reviewed, no fraud indicators found"
CLM-000483,0.0,"Reviewed, no fraud indicators found"
CLM-000484,0.0,"Reviewed, no fraud indicators found"
CLM-000485,1.0,Confirmed fraud indicators found in review
CLM-000486,0.0,"Reviewed, no fraud indicators found"
CLM-000487,1.0,Confirmed fraud indicators found in review
CLM-000488,1.0,Confirmed fraud indicators found in review
CLM-000489,1.0,Confirmed fraud indicators found in review
CLM-000490,0.0,"Reviewed, no fraud indicators found"
CLM-000491,0.0,"Reviewed, no fraud indicators found"
CLM-000492,0.0,"Reviewed, no fraud indicators found"
CLM-000493,0.0,"Reviewed, no fraud indicators found"
CLM-000494,0.0,"Reviewed, no fraud indicators found"
CLM-000495,0.0,"Reviewed, no fraud indicators found"
CLM-000496,0.0,"Reviewed, no fraud indicators found"
CLM-000497,0.0,"Reviewed, no fraud indicators found"
CLM-000498,0.0,"Reviewed, no fraud indicators found"
CLM-000499,0.0,"Reviewed, no fraud indicators found"
CLM-000500,0.0,"Reviewed, no fraud indicators found"
CLM-000501,0.0,"Reviewed, no fraud indicators found"
CLM-000502,0.0,"Reviewed, no fraud indicators found"
CLM-000503,0.0,"Reviewed, no fraud indicators found"
CLM-000504,0.0,"Reviewed, no fraud indicators found"
CLM-000505,0.0,"Reviewed, no fraud indicators found"
CLM-000506,,
CLM-000507,0.0,"Reviewed, no fraud indicators found"
CLM-000508,0.0,"Reviewed, no fraud indicators found"
CLM-000509,0.0,"Reviewed, no fraud indicators found"
CLM-000510,0.0,"Reviewed, no fraud indicators found"
CLM-000511,0.0,"Reviewed, no fraud indicators found"
CLM-000512,0.0,"Reviewed, no fraud indicators found"
CLM-000513,0.0,"Reviewed, no fraud indicators found"
CLM-000514,0.0,"Reviewed, no fraud indicators found"
CLM-000515,0.0,"Reviewed, no fraud indicators found"
CLM-000516,0.0,"Reviewed, no fraud indicators found"
CLM-000517,0.0,"Reviewed, no fraud indicators found"
CLM-000518,0.0,"Reviewed, no fraud indicators found"
CLM-000519,0.0,"Reviewed, no fraud indicators found"
CLM-000520,1.0,Confirmed fraud indicators found in review
CLM-000521,0.0,"Reviewed, no fraud indicators found"
CLM-000522,1.0,Confirmed fraud indicators found in review
CLM-000523,0.0,"Reviewed, no fraud indicators found"
CLM-000524,0.0,"Reviewed, no fraud indicators found"
CLM-000525,0.0,"Reviewed, no fraud indicators found"
CLM-000526,0.0,"Reviewed, no fraud indicators found"
CLM-000527,0.0,"Reviewed, no fraud indicators found"
CLM-000528,0.0,"Reviewed, no fraud indicators found"
CLM-000529,0.0,"Reviewed, no fraud indicators found"
CLM-000530,0.0,"Reviewed, no fraud indicators found"
