claim_id,evaluation_date,development_month,reserve_estimate,cumulative_paid
CLM-000056,2023-01-13,9,21463.57,20559.83
CLM-000056,2023-02-12,10,21417.77,20533.54
CLM-000056,2023-03-14,11,23211.06,21144.23
CLM-000056,2023-04-13,12,22494.48,19657.36
CLM-000056,2023-05-13,13,20961.63,20202.0
CLM-000056,2023-06-12,14,22743.12,21675.36
CLM-000056,2023-07-12,15,22063.24,20643.25
CLM-000056,2023-08-11,16,22881.98,22056.9
CLM-000056,2023-09-10,17,21249.09,19793.89
CLM-000056,2023-10-10,18,21502.37,19358.13
CLM-000056,2023-11-09,19,23528.94,18917.72
CLM-000056,2023-12-09,20,22260.71,19357.08
CLM-000056,2024-01-08,21,22270.31,21901.14
CLM-000056,2024-02-07,22,22494.47,20577.62
CLM-000056,2024-03-08,23,23239.16,20038.28
CLM-000056,2024-04-07,24,22454.2,22008.76
CLM-000057,2022-05-23,1,42.13,90.85
CLM-000057,2022-06-22,2,102.85,188.0
CLM-000058,2022-05-30,1,3108.6,935.17
CLM-000058,2022-06-29,2,387.46,1739.29
CLM-000059,2022-05-27,1,51.23,0.0
CLM-000059,2022-06-26,2,200.79,0.0
CLM-000059,2022-07-26,3,183.24,346.61
CLM-000059,2022-08-25,4,400.34,455.67
CLM-000059,2022-09-24,5,644.96,613.88
CLM-000059,2022-10-24,6,813.88,700.22
CLM-000059,2022-11-23,7,854.82,896.12
CLM-000059,2022-12-23,8,1022.23,1002.72
CLM-000059,2023-01-22,9,999.06,1003.45
CLM-000059,2023-02-21,10,970.96,895.58
CLM-000059,2023-03-23,11,1016.85,918.03
CLM-000059,2023-04-22,12,1032.71,921.54
CLM-000059,2023-05-22,13,1019.12,931.08
CLM-000059,2023-06-21,14,1029.81,883.58
CLM-000059,2023-07-21,15,1064.36,895.16
CLM-000059,2023-08-20,16,1014.09,1024.51
CLM-000059,2023-09-19,17,1011.32,1013.8
CLM-000059,2023-10-19,18,1008.63,898.1
CLM-000059,2023-11-18,19,1041.26,1023.14
CLM-000059,2023-12-18,20,1027.82,1016.45
CLM-000059,2024-01-17,21,1021.91,923.13
CLM-000059,2024-02-16,22,1043.29,919.25
CLM-000059,2024-03-17,23,987.1,986.16
CLM-000059,2024-04-16,24,1027.18,998.38
CLM-000060,2022-06-04,1,1499.71,1672.8
CLM-000061,2022-06-10,1,10392.75,6153.63
CLM-000062,2022-06-12,1,1103.43,361.9
CLM-000063,2022-06-11,1,344.58,741.19
CLM-000063,2022-07-11,2,1865.56,1498.02
CLM-000064,2022-06-18,1,4090.71,5149.25
CLM-000065,2022-06-27,1,1605.46,870.06
CLM-000065,2022-07-27,2,993.77,1847.34
CLM-000066,2022-07-03,1,345.52,852.09
CLM-000067,2022-07-07,1,1307.34,553.82
CLM-000068,2022-07-10,1,6757.41,14481.58
CLM-000069,2022-07-27,1,1202.32,2669.4
CLM-000070,2022-08-05,1,341.12,761.21
CLM-000070,2022-09-04,2,1737.22,1487.0
CLM-000071,2022-08-21,1,3795.4,1296.8
CLM-000071,2022-09-20,2,3023.45,2633.06
CLM-000072,2022-08-13,1,897.34,688.32
CLM-000073,2022-08-18,1,177.07,391.31
CLM-000073,2022-09-17,2,1311.11,775.48
CLM-000074,2022-08-24,1,93.67,208.82
CLM-000075,2022-08-31,1,596.67,441.67
CLM-000076,2022-09-06,1,1023.83,0.0
CLM-000076,2022-10-06,2,1678.74,0.0
CLM-000076,2022-11-05,3,2267.16,1347.47
CLM-000076,2022-12-05,4,2191.62,1774.02
CLM-000076,2023-01-04,5,2520.49,2309.93
CLM-000076,2023-02-03,6,3380.87,2964.05
CLM-000076,2023-03-05,7,3416.52,3206.64
CLM-000076,2023-04-04,8,3976.28,3436.24
CLM-000076,2023-05-04,9,4125.27,3495.52
CLM-000076,2023-06-03,10,3918.67,3782.48
CLM-000076,2023-07-03,11,4081.75,3440.98
CLM-000076,2023-08-02,12,4053.87,3480.9
CLM-000076,2023-09-01,13,3919.6,3797.34
CLM-000076,2023-10-01,14,4067.13,3445.19
CLM-000076,2023-10-31,15,3991.29,3764.3
CLM-000076,2023-11-30,16,4001.35,3908.29
CLM-000076,2023-12-30,17,4014.05,3462.48
CLM-000076,2024-01-29,18,3971.64,3793.79
CLM-000076,2024-02-28,19,4076.3,3731.31
CLM-000076,2024-03-29,20,4126.73,3891.24
CLM-000076,2024-04-28,21,3917.19,3687.59
CLM-000076,2024-05-28,22,3880.66,3620.65
CLM-000076,2024-06-27,23,3953.73,3899.37
CLM-000076,2024-07-27,24,4105.3,3741.16
CLM-000077,2022-09-09,1,3506.36,0.0
CLM-000077,2022-10-09,2,4796.78,0.0
CLM-000077,2022-11-08,3,9581.76,4283.96
CLM-000077,2022-12-08,4,9980.64,5664.35
CLM-000077,2023-01-07,5,8016.58,7620.06
CLM-000077,2023-02-06,6,10149.7,8803.72
CLM-000077,2023-03-08,7,11273.63,10555.45
CLM-000077,2023-04-07,8,12864.96,12431.01
CLM-000077,2023-05-07,9,13781.69,12169.28
CLM-000077,2023-06-06,10,12947.74,12274.74
CLM-000077,2023-07-06,11,13122.45,12889.12
CLM-000077,2023-08-05,12,12733.53,12038.03
CLM-000077,2023-09-04,13,13288.75,11575.16
CLM-000077,2023-10-04,14,13055.89,12953.39
CLM-000077,2023-11-03,15,12870.78,12247.83
CLM-000077,2023-12-03,16,13045.29,11961.62
CLM-000077,2024-01-02,17,12987.54,11684.21
CLM-000077,2024-02-01,18,13295.45,12333.23
CLM-000077,2024-03-02,19,12735.91,12099.96
CLM-000077,2024-04-01,20,12713.29,12669.1
CLM-000077,2024-05-01,21,13118.78,11724.29
CLM-000077,2024-05-31,22,12685.7,12136.98
CLM-000077,2024-06-30,23,12658.83,12781.96
CLM-000077,2024-07-30,24,13001.2,11895.11
CLM-000078,2022-09-09,1,276.89,601.03
CLM-000079,2022-09-12,1,2011.99,1378.93
CLM-000080,2022-09-21,1,476.58,1046.25
CLM-000081,2022-09-21,1,925.64,818.07
CLM-000082,2022-09-22,1,132.38,0.0
CLM-000082,2022-10-22,2,170.85,0.0
CLM-000082,2022-11-21,3,439.28,532.43
CLM-000082,2022-12-21,4,600.27,728.26
CLM-000082,2023-01-20,5,1030.73,853.11
CLM-000082,2023-02-19,6,1200.84,1120.23
CLM-000082,2023-03-21,7,1415.72,1173.09
CLM-000082,2023-04-20,8,1466.4,1393.12
CLM-000082,2023-05-20,9,1538.76,1445.18
CLM-000082,2023-06-19,10,1548.16,1348.23
CLM-000082,2023-07-19,11,1584.75,1532.67
CLM-000082,2023-08-18,12,1572.62,1386.17
CLM-000082,2023-09-17,13,1538.25,1481.99
CLM-000082,2023-10-17,14,1547.94,1340.45
CLM-000082,2023-11-16,15,1566.4,1386.84
CLM-000082,2023-12-16,16,1554.97,1463.94
CLM-000082,2024-01-15,17,1531.57,1532.11
CLM-000082,2024-02-14,18,1541.46,1372.11
CLM-000082,2024-03-15,19,1565.3,1515.94
CLM-000082,2024-04-14,20,1552.32,1318.97
CLM-000082,2024-05-14,21,1560.53,1383.24
CLM-000082,2024-06-13,22,1622.69,1429.79
CLM-000082,2024-07-13,23,1550.97,1453.18
CLM-000082,2024-08-12,24,1545.83,1434.29
CLM-000083,2022-09-24,1,700.8,344.2
CLM-000084,2022-09-25,1,424.77,313.06
CLM-000085,2022-09-28,1,738.09,1067.79
CLM-000086,2022-10-04,1,505.58,266.55
CLM-000087,2022-10-08,1,736.43,1675.66
CLM-000088,2022-10-12,1,699.43,388.37
CLM-000089,2022-10-17,1,171.41,406.71
CLM-000089,2022-11-16,2,1827.93,804.51
CLM-000089,2022-12-16,3,1091.41,1154.58
CLM-000090,2022-10-17,1,1043.87,846.04
CLM-000091,2022-10-15,1,1950.67,0.0
CLM-000091,2022-11-14,2,4193.34,0.0
CLM-000091,2022-12-14,3,4176.59,3859.69
CLM-000091,2023-01-13,4,7725.77,5729.57
CLM-000091,2023-02-12,5,7326.11,7116.92
CLM-000091,2023-03-14,6,9187.89,7512.73
CLM-000091,2023-04-13,7,9965.4,8861.32
CLM-000091,2023-05-13,8,11281.18,10127.69
CLM-000091,2023-06-12,9,11865.31,11335.65
CLM-000091,2023-07-12,10,11802.38,11395.11
CLM-000091,2023-08-11,11,11384.41,11049.17
CLM-000091,2023-09-10,12,11552.47,11370.41
CLM-000091,2023-10-10,13,11571.03,11662.94
CLM-000091,2023-11-09,14,11929.27,10778.74
CLM-000091,2023-12-09,15,11494.87,11135.17
CLM-000091,2024-01-08,16,11667.96,10423.15
CLM-000091,2024-02-07,17,11612.56,9999.85
CLM-000091,2024-03-08,18,11775.31,11363.46
CLM-000091,2024-04-07,19,11880.91,10812.67
CLM-000091,2024-05-07,20,11443.47,9951.81
CLM-000091,2024-06-06,21,11822.87,11622.84
CLM-000091,2024-07-06,22,11875.11,10340.35
CLM-000091,2024-08-05,23,11954.14,9941.3
CLM-000091,2024-09-04,24,11351.69,11650.5
CLM-000092,2022-10-23,1,3208.26,1671.65
CLM-000093,2022-10-28,1,20123.93,6325.38
CLM-000094,2022-10-28,1,210.85,493.27
CLM-000095,2022-11-05,1,2281.82,854.03
CLM-000096,2022-11-05,1,4718.53,1364.86
CLM-000097,2022-11-08,1,5459.51,2217.62
CLM-000098,2022-12-03,1,1473.53,1040.16
CLM-000099,2022-11-22,1,792.4,0.0
CLM-000099,2022-12-22,2,1362.96,0.0
CLM-000099,2023-01-21,3,1071.36,897.52
CLM-000099,2023-02-20,4,1315.91,1257.47
CLM-000099,2023-03-22,5,1853.78,1535.46
CLM-000099,2023-04-21,6,1964.2,1869.39
CLM-000099,2023-05-21,7,2274.74,2281.15
CLM-000099,2023-06-20,8,2604.26,2335.73
CLM-000099,2023-07-20,9,2663.97,2557.04
CLM-000099,2023-08-19,10,2702.68,2350.48
CLM-000099,2023-09-18,11,2573.94,2472.24
CLM-000099,2023-10-18,12,2554.47,2304.05
CLM-000099,2023-11-17,13,2682.81,2459.79
CLM-000099,2023-12-17,14,2656.49,2448.04
CLM-000099,2024-01-16,15,2664.73,2442.18
CLM-000099,2024-02-15,16,2608.53,2515.65
CLM-000099,2024-03-16,17,2665.82,2264.74
CLM-000099,2024-04-15,18,2714.95,2477.69
CLM-000099,2024-05-15,19,2636.45,2375.07
CLM-000099,2024-06-14,20,2681.76,2388.25
CLM-000099,2024-07-14,21,2594.7,2462.29
CLM-000099,2024-08-13,22,2735.77,2599.48
CLM-000099,2024-09-12,23,2569.26,2615.15
CLM-000099,2024-10-12,24,2539.19,2376.63
CLM-000100,2022-11-20,1,393.46,242.68
CLM-000101,2022-11-24,1,1931.79,1324.83
CLM-000102,2022-11-22,1,820.73,191.95
CLM-000102,2022-12-22,2,118.87,376.48
CLM-000103,2022-11-30,1,170.83,403.09
CLM-000104,2022-11-27,1,161.5,352.22
CLM-000105,2022-11-28,1,691.67,1725.55
CLM-000105,2022-12-28,2,5146.08,3133.28
CLM-000106,2022-12-12,1,1030.87,399.22
CLM-000106,2023-01-11,2,802.11,813.31
CLM-000107,2022-12-12,1,608.53,652.8
CLM-000107,2023-01-11,2,1537.56,1224.3
CLM-000108,2022-12-17,1,20550.4,0.0
CLM-000108,2023-01-16,2,16901.63,0.0
CLM-000108,2023-02-15,3,37658.99,21444.13
CLM-000108,2023-03-17,4,26544.73,30784.2
CLM-000108,2023-04-16,5,46955.25,33921.87
CLM-000108,2023-05-16,6,47505.42,45330.47
CLM-000108,2023-06-15,7,54047.28,47362.95
CLM-000108,2023-07-15,8,60883.35,54244.0
CLM-000108,2023-08-14,9,65114.53,59302.07
CLM-000108,2023-09-13,10,61735.32,54258.97
CLM-000108,2023-10-13,11,60315.86,56890.82
CLM-000108,2023-11-12,12,59572.84,53767.63
CLM-000108,2023-12-12,13,63888.15,58735.42
CLM-000108,2024-01-11,14,60209.69,55962.61
CLM-000108,2024-02-10,15,62044.34,54715.59
CLM-000108,2024-03-11,16,61569.98,53247.07
CLM-000108,2024-04-10,17,59908.81,59171.51
CLM-000108,2024-05-10,18,61151.44,53071.02
CLM-000108,2024-06-09,19,61828.98,59641.54
CLM-000108,2024-07-09,20,59497.24,55402.4
CLM-000108,2024-08-08,21,61029.16,56336.32
CLM-000108,2024-09-07,22,61371.55,55320.02
CLM-000108,2024-10-07,23,62705.72,57666.47
CLM-000108,2024-11-06,24,63155.18,61527.86
CLM-000109,2022-12-18,1,212.72,381.56
CLM-000109,2023-01-17,2,766.6,787.14
CLM-000110,2022-12-18,1,282.16,233.28
CLM-000110,2023-01-17,2,488.08,467.35
CLM-000111,2022-12-17,1,369.83,380.55
CLM-000112,2022-12-24,1,1446.9,3285.55
CLM-000113,2022-12-20,1,1442.4,449.59
CLM-000114,2022-12-22,1,185.02,422.25
CLM-000115,2022-12-24,1,1757.72,1261.41
CLM-000116,2022-12-22,1,1007.35,622.07
CLM-000116,2023-01-21,2,718.34,1182.18
CLM-000117,2022-12-25,1,6204.36,1529.42
CLM-000118,2023-01-06,1,1866.37,920.08
CLM-000119,2023-01-02,1,535.14,733.52
CLM-000120,2023-01-11,1,1023.36,0.0
CLM-000120,2023-02-10,2,3758.27,0.0
CLM-000120,2023-03-12,3,6401.1,4911.21
CLM-000120,2023-04-11,4,7455.3,6190.39
CLM-000120,2023-05-11,5,5904.27,7587.85
CLM-000120,2023-06-10,6,9217.39,10281.21
CLM-000120,2023-07-10,7,12092.84,11219.77
CLM-000120,2023-08-09,8,13837.78,12280.01
CLM-000120,2023-09-08,9,14084.05,13496.83
CLM-000120,2023-10-08,10,13772.15,13465.45
CLM-000120,2023-11-07,11,14105.51,12281.07
CLM-000120,2023-12-07,12,14101.75,12716.74
CLM-000120,2024-01-06,13,13733.25,13869.77
CLM-000120,2024-02-05,14,14198.61,13594.27
CLM-000120,2024-03-06,15,14159.53,13658.24
CLM-000120,2024-04-05,16,13790.2,13015.78
CLM-000120,2024-05-05,17,14096.21,13881.25
CLM-000120,2024-06-04,18,14000.3,13850.02
CLM-000120,2024-07-04,19,14114.89,13627.77
CLM-000120,2024-08-03,20,13846.38,13242.8
CLM-000120,2024-09-02,21,13412.43,12372.83
CLM-000120,2024-10-02,22,13635.93,13688.33
CLM-000120,2024-11-01,23,13643.72,11994.76
CLM-000120,2024-12-01,24,13344.27,13427.78
CLM-000121,2023-01-14,1,2697.11,774.13
CLM-000121,2023-02-13,2,3644.22,1695.41
CLM-000122,2023-01-27,1,560.49,0.0
CLM-000122,2023-02-26,2,381.46,0.0
CLM-000122,2023-03-28,3,2857.28,2605.45
CLM-000122,2023-04-27,4,3461.64,3802.66
CLM-000122,2023-05-27,5,5550.42,4266.9
CLM-000122,2023-06-26,6,4517.29,4905.82
CLM-000122,2023-07-26,7,6664.36,6136.61
CLM-000122,2023-08-25,8,7429.84,7089.14
CLM-000122,2023-09-24,9,7514.93,7467.01
CLM-000122,2023-10-24,10,7556.79,6871.97
CLM-000122,2023-11-23,11,7724.68,7297.48
CLM-000122,2023-12-23,12,7749.68,7426.88
CLM-000122,2024-01-22,13,7397.4,6712.98
CLM-000122,2024-02-21,14,7527.34,6946.0
CLM-000122,2024-03-22,15,7623.57,6814.55
CLM-000122,2024-04-21,16,7667.63,7175.11
CLM-000122,2024-05-21,17,7676.9,7060.18
CLM-000122,2024-06-20,18,7681.61,7344.21
CLM-000122,2024-07-20,19,7635.33,6624.59
CLM-000122,2024-08-19,20,7231.65,7288.96
CLM-000122,2024-09-18,21,7445.44,7173.24
CLM-000122,2024-10-18,22,7548.08,7173.29
CLM-000122,2024-11-17,23,7133.83,7483.83
CLM-000122,2024-12-17,24,7416.99,6974.85
CLM-000123,2023-01-19,1,1367.52,3085.09
CLM-000123,2023-02-18,2,6393.07,6740.62
CLM-000123,2023-03-20,3,13345.7,10178.19
CLM-000124,2023-01-29,1,786.0,1343.83
CLM-000125,2023-01-29,1,50.55,0.0
CLM-000125,2023-02-28,2,303.78,0.0
CLM-000125,2023-03-30,3,406.18,348.52
CLM-000125,2023-04-29,4,587.09,459.73
CLM-000125,2023-05-29,5,738.57,621.93
CLM-000125,2023-06-28,6,773.54,686.71
CLM-000125,2023-07-28,7,873.28,839.25
CLM-000125,2023-08-27,8,989.48,892.66
CLM-000125,2023-09-26,9,1005.19,878.54
CLM-000125,2023-10-26,10,1000.96,891.86
CLM-000125,2023-11-25,11,1005.03,862.07
CLM-000125,2023-12-25,12,1031.67,873.38
CLM-000125,2024-01-24,13,1021.9,865.29
CLM-000125,2024-02-23,14,996.91,927.0
CLM-000125,2024-03-24,15,1004.67,891.2
CLM-000125,2024-04-23,16,1011.95,929.38
CLM-000125,2024-05-23,17,996.16,898.45
CLM-000125,2024-06-22,18,985.21,954.95
CLM-000125,2024-07-22,19,991.88,960.93
CLM-000125,2024-08-21,20,994.31,865.32
CLM-000125,2024-09-20,21,977.65,992.45
CLM-000125,2024-10-20,22,979.67,1005.07
CLM-000125,2024-11-19,23,1009.97,882.72
CLM-000125,2024-12-19,24,1019.71,926.62
CLM-000126,2023-02-04,1,5622.15,3061.21
CLM-000127,2023-02-04,1,335.93,801.98
CLM-000128,2023-02-10,1,495.67,1156.76
CLM-000129,2023-02-16,1,335.71,753.66
CLM-000130,2023-02-09,1,1015.88,539.17
CLM-000131,2023-02-06,1,984.95,1669.7
CLM-000131,2023-03-08,2,1767.09,3183.59
CLM-000132,2023-02-06,1,873.63,1027.56
CLM-000132,2023-03-08,2,1984.61,2046.08
CLM-000133,2023-02-13,1,42.62,92.97
CLM-000134,2023-02-10,1,119.82,270.19
CLM-000134,2023-03-12,2,800.71,598.53
CLM-000135,2023-02-28,1,213.64,280.78
CLM-000136,2023-02-14,1,2059.59,1484.07
CLM-000137,2023-02-17,1,535.56,1208.87
CLM-000137,2023-03-19,2,2940.6,2296.43
CLM-000138,2023-02-23,1,317.69,773.98
CLM-000139,2023-02-24,1,1392.28,478.8
CLM-000139,2023-03-26,2,258.6,936.21
CLM-000140,2023-02-25,1,7836.84,5589.66
CLM-000141,2023-03-02,1,1782.17,1022.6
CLM-000142,2023-03-05,1,459.9,712.32
CLM-000142,2023-04-04,2,2135.92,1485.7
CLM-000143,2023-03-08,1,3588.73,1535.36
CLM-000144,2023-03-22,1,91.46,216.28
CLM-000145,2023-03-19,1,4947.28,2593.59
CLM-000146,2023-03-21,1,477.96,1122.46
CLM-000147,2023-03-23,1,339.89,820.17
CLM-000148,2023-03-26,1,330.64,515.63
CLM-000148,2023-04-25,2,1392.28,949.41
CLM-000148,2023-05-25,3,2491.34,1586.91
CLM-000149,2023-03-28,1,129.6,151.77
CLM-000150,2023-03-26,1,110.43,87.03
CLM-000150,2023-04-25,2,175.03,176.23
CLM-000150,2023-05-25,3,131.11,259.26
CLM-000150,2023-06-24,4,281.0,356.99
CLM-000151,2023-04-05,1,167.67,389.11
CLM-000152,2023-04-05,1,354.39,810.6
CLM-000152,2023-05-05,2,1259.53,1638.97
CLM-000153,2023-04-06,1,888.58,407.77
CLM-000154,2023-04-11,1,231.01,568.95
CLM-000154,2023-05-11,2,376.72,1064.21
CLM-000155,2023-04-16,1,2995.47,1671.67
CLM-000156,2023-04-16,1,1181.73,2942.62
CLM-000156,2023-05-16,2,1210.42,5088.86
CLM-000157,2023-04-23,1,853.21,792.51
CLM-000157,2023-05-23,2,449.11,1524.57
CLM-000158,2023-04-24,1,1592.36,532.57
CLM-000159,2023-04-25,1,2483.14,1083.34
CLM-000159,2023-05-25,2,1173.9,2171.18
CLM-000159,2023-06-24,3,3393.91,2895.91
CLM-000160,2023-04-28,1,871.47,1239.35
CLM-000161,2023-05-06,1,334.89,785.39
CLM-000162,2023-05-04,1,137.92,72.62
CLM-000162,2023-06-03,2,139.62,142.57
CLM-000163,2023-05-04,1,3325.96,1589.79
CLM-000164,2023-05-05,1,633.54,295.88
CLM-000165,2023-05-15,1,1003.29,0.0
CLM-000165,2023-06-14,2,608.85,0.0
CLM-000165,2023-07-14,3,777.38,786.97
CLM-000165,2023-08-13,4,971.34,1113.7
CLM-000165,2023-09-12,5,986.7,1248.81
CLM-000165,2023-10-12,6,1614.67,1693.4
CLM-000165,2023-11-11,7,2017.01,1880.79
CLM-000165,2023-12-11,8,2357.33,2214.45
CLM-000165,2024-01-10,9,2323.72,2249.57
CLM-000165,2024-02-09,10,2261.07,2024.17
CLM-000165,2024-03-10,11,2447.83,2190.32
CLM-000165,2024-04-09,12,2396.53,2091.0
CLM-000165,2024-05-09,13,2369.75,2316.09
CLM-000165,2024-06-08,14,2409.42,2123.32
CLM-000165,2024-07-08,15,2281.16,2141.38
CLM-000165,2024-08-07,16,2336.0,2119.18
CLM-000165,2024-09-06,17,2350.16,2291.04
CLM-000165,2024-10-06,18,2392.37,2262.81
CLM-000165,2024-11-05,19,2365.52,2265.85
CLM-000165,2024-12-05,20,2386.51,2020.12
CLM-000165,2025-01-04,21,2310.32,2330.52
CLM-000165,2025-02-03,22,2402.82,2105.57
CLM-000165,2025-03-05,23,2356.93,2292.77
CLM-000165,2025-04-04,24,2389.5,2230.11
CLM-000166,2023-05-17,1,392.45,309.97
CLM-000167,2023-05-13,1,117.03,80.13
CLM-000167,2023-06-12,2,106.5,154.85
