claim_id,policy_id,date_of_loss,date_reported,cause_of_loss,claim_status,is_catastrophe_flag,storm_id,reported_severity,settlement_date
CLM-000035,GC-001820,2021-12-18,2021-12-21,Falling Tree (Non-Storm),Closed,N,,4924.9,2021-12-30
CLM-000036,GC-003295,2021-12-18,2021-12-18,Other Weather,Closed,N,,5038.64,2022-01-17
CLM-000037,GC-004878,2021-12-24,2022-01-03,Vandalism,Closed,N,,4587.7,2022-01-08
CLM-000038,GC-000275,2021-12-27,2021-12-31,Fire,Closed,N,,3669.7,2022-01-01
CLM-000039,GC-002727,2022-01-16,2022-01-18,Theft,Closed,N,,1992.34,2022-02-18
CLM-000040,GC-004390,2022-01-17,2022-02-04,Water Damage (Non-Storm),Closed,N,,3124.47,2022-01-28
CLM-000041,GC-000144,2022-01-31,2022-01-31,Other Weather,Closed,N,,8125.4,2022-02-06
CLM-000042,GC-000909,2022-02-03,2022-02-05,Fire,Closed,N,,1548.71,2022-03-06
CLM-000043,GC-004182,2022-02-17,2022-02-25,Theft,Closed,N,,2468.2,2022-04-21
CLM-000044,GC-004824,2022-02-17,2022-02-27,Theft,Closed,N,,7353.4,2022-03-29
CLM-000045,GC-003756,2022-02-19,2022-02-22,Vandalism,Open,N,,10281.6,
CLM-000046,GC-003669,2022-02-23,2022-02-24,Theft,Closed,N,,42131.4,2022-03-27
CLM-000047,GC-001189,2022-02-26,2022-03-04,Liability,Closed,N,,2787.05,2022-03-19
CLM-000048,GC-003764,2022-03-13,2022-03-19,Water Damage (Non-Storm),Closed,N,,996.48,2022-04-09
CLM-000049,GC-000997,2022-03-18,2022-03-26,Other Weather,Closed,N,,18020.07,2022-05-16
CLM-000050,GC-002134,2022-03-24,2022-03-29,Vandalism,Closed,N,,2742.4,2022-04-16
CLM-000051,GC-002916,2022-03-29,2022-04-02,Other Weather,Closed,N,,155353.14,2022-04-28
CLM-000052,GC-003966,2022-03-29,2022-03-30,Vandalism,Closed,N,,1515.07,2022-04-19
CLM-000053,GC-000734,2022-03-30,2022-04-09,Liability,Closed,N,,8364.58,2022-04-20
CLM-000054,GC-002554,2022-04-13,2022-04-15,Liability,Closed,N,,1143.63,2022-06-05
CLM-000055,GC-000253,2022-04-15,2022-04-15,Other Weather,Closed,N,,1432.9,2022-06-06
CLM-000056,GC-003411,2022-04-18,2022-04-18,Fire,Open,N,,22254.42,
CLM-000057,GC-004769,2022-04-21,2022-04-23,Fire,Closed,N,,842.59,2022-05-24
CLM-000058,GC-003583,2022-04-24,2022-04-30,Vandalism,Closed,N,,7749.25,2022-06-12
CLM-000059,GC-004403,2022-04-27,2022-04-27,Vandalism,Open,N,,1024.64,
CLM-000060,GC-004617,2022-04-30,2022-05-05,Liability,Closed,N,,14411.52,2022-05-18
CLM-000061,GC-000820,2022-05-10,2022-05-11,Fire,Closed,N,,52983.02,2022-05-31
CLM-000062,GC-000339,2022-05-11,2022-05-13,Theft,Closed,N,,3312.73,2022-05-17
CLM-000063,GC-003966,2022-05-12,2022-05-12,Theft,Closed,N,,6834.68,2022-07-07
CLM-000064,GC-001809,2022-05-15,2022-05-19,Fire,Closed,N,,41766.88,2022-05-17
CLM-000065,GC-004954,2022-05-24,2022-05-28,Vandalism,Closed,N,,7411.91,2022-07-20
CLM-000066,GC-000860,2022-06-01,2022-06-03,Vandalism,Closed,N,,6910.49,2022-06-08
CLM-000067,GC-003126,2022-06-06,2022-06-07,Theft,Closed,N,,4897.43,2022-06-28
CLM-000068,GC-001590,2022-06-09,2022-06-10,Other Weather,Closed,N,,135148.25,2022-07-05
CLM-000069,GC-004419,2022-06-27,2022-06-27,Water Damage (Non-Storm),Closed,N,,24046.33,2022-07-16
CLM-000070,GC-002133,2022-07-05,2022-07-06,Other Weather,Closed,N,,6822.49,2022-08-31
CLM-000071,GC-000912,2022-07-10,2022-07-22,Vandalism,Closed,N,,11741.11,2022-09-06
CLM-000072,GC-003169,2022-07-12,2022-07-14,Vandalism,Closed,N,,5916.58,2022-07-31
CLM-000073,GC-000043,2022-07-18,2022-07-19,Liability,Closed,N,,3541.36,2022-08-20
CLM-000074,GC-002122,2022-07-23,2022-07-25,Fire,Closed,N,,1873.39,2022-08-15
CLM-000075,GC-000823,2022-08-01,2022-08-01,Theft,Closed,N,,3685.32,2022-08-24
CLM-000076,GC-000949,2022-08-05,2022-08-07,Water Damage (Non-Storm),Open,N,,4034.71,
CLM-000077,GC-000097,2022-08-06,2022-08-10,Vandalism,Open,N,,13094.81,
CLM-000078,GC-001286,2022-08-09,2022-08-10,Vandalism,Closed,N,,5537.88,2022-08-30
CLM-000079,GC-002400,2022-08-11,2022-08-13,Fire,Closed,N,,11464.38,2022-08-24
CLM-000080,GC-004027,2022-08-17,2022-08-22,Theft,Closed,N,,9531.51,2022-09-04
CLM-000081,GC-000367,2022-08-21,2022-08-22,Fire,Closed,N,,6852.28,2022-09-05
CLM-000082,GC-003610,2022-08-22,2022-08-23,Vandalism,Open,N,,1546.4,
CLM-000083,GC-002569,2022-08-23,2022-08-25,Other Weather,Closed,N,,2859.88,2022-09-03
CLM-000084,GC-003148,2022-08-23,2022-08-26,Water Damage (Non-Storm),Closed,N,,2815.11,2022-09-23
CLM-000085,GC-003538,2022-08-27,2022-08-29,Fire,Closed,N,,10009.5,2022-09-02
CLM-000086,GC-003536,2022-09-03,2022-09-04,Water Damage (Non-Storm),Closed,N,,2443.82,2022-09-15
CLM-000087,GC-002157,2022-09-06,2022-09-08,Vandalism,Closed,N,,14728.66,2022-09-30
CLM-000088,GC-000377,2022-09-11,2022-09-12,Theft,Closed,N,,3142.37,2022-10-09
CLM-000089,GC-003931,2022-09-13,2022-09-17,Fire,Closed,N,,3428.18,2022-11-24
CLM-000090,GC-000074,2022-09-13,2022-09-17,Water Damage (Non-Storm),Closed,N,,7939.69,2022-10-05
CLM-000091,GC-000793,2022-09-14,2022-09-15,Water Damage (Non-Storm),Open,N,,11676.06,
CLM-000092,GC-003345,2022-09-19,2022-09-23,Theft,Closed,N,,14967.98,2022-10-01
CLM-000093,GC-000226,2022-09-25,2022-09-28,Water Damage (Non-Storm),Closed,N,,52255.43,2022-10-26
CLM-000094,GC-004681,2022-09-28,2022-09-28,Other Weather,Closed,N,,4217.04,2022-10-10
CLM-000095,GC-002389,2022-10-02,2022-10-06,Fire,Closed,N,,7044.8,2022-10-27
CLM-000096,GC-003430,2022-10-03,2022-10-06,Other Weather,Closed,N,,12509.52,2022-10-21
CLM-000097,GC-002032,2022-10-05,2022-10-09,Fire,Closed,N,,19269.93,2022-10-24
CLM-000098,GC-002556,2022-10-09,2022-11-03,Water Damage (Non-Storm),Closed,N,,9355.77,2022-11-14
CLM-000099,GC-003465,2022-10-15,2022-10-23,Fire,Open,N,,2630.14,
CLM-000100,GC-000275,2022-10-17,2022-10-21,Theft,Closed,N,,2061.64,2022-11-08
CLM-000101,GC-004736,2022-10-22,2022-10-25,Other Weather,Closed,N,,12197.19,2022-10-31
CLM-000102,GC-002531,2022-10-22,2022-10-23,Other Weather,Closed,N,,1732.68,2022-11-27
CLM-000103,GC-000174,2022-10-25,2022-10-31,Fire,Closed,N,,3416.56,2022-11-29
CLM-000104,GC-000092,2022-10-26,2022-10-28,Falling Tree (Non-Storm),Closed,N,,3229.94,2022-11-02
CLM-000105,GC-000527,2022-10-29,2022-10-29,Vandalism,Closed,N,,13833.39,2022-12-24
CLM-000106,GC-003222,2022-11-02,2022-11-12,Vandalism,Closed,N,,3399.35,2023-01-09
CLM-000107,GC-000824,2022-11-08,2022-11-12,Water Damage (Non-Storm),Closed,N,,5236.53,2022-12-16
CLM-000108,GC-003628,2022-11-13,2022-11-17,Vandalism,Open,N,,61841.87,
CLM-000109,GC-001121,2022-11-15,2022-11-18,Other Weather,Closed,N,,3573.2,2022-12-28
CLM-000110,GC-003611,2022-11-17,2022-11-18,Theft,Closed,N,,2019.03,2022-12-24
CLM-000111,GC-000260,2022-11-17,2022-11-17,Other Weather,Closed,N,,3051.29,2022-12-06
CLM-000112,GC-003326,2022-11-19,2022-11-24,Other Weather,Closed,N,,28937.91,2022-12-11
CLM-000113,GC-000794,2022-11-19,2022-11-20,Theft,Closed,N,,3798.19,2022-12-03
CLM-000114,GC-004393,2022-11-19,2022-11-22,Other Weather,Closed,N,,3700.47,2022-11-26
CLM-000115,GC-003721,2022-11-21,2022-11-24,Fire,Closed,N,,11325.72,2022-11-29
CLM-000116,GC-004254,2022-11-22,2022-11-22,Fire,Closed,N,,5056.94,2023-01-02
CLM-000117,GC-002898,2022-11-22,2022-11-25,Other Weather,Closed,N,,13950.37,2022-12-17
CLM-000118,GC-000741,2022-11-28,2022-12-07,Fire,Closed,N,,7439.17,2022-12-03
CLM-000119,GC-000228,2022-12-01,2022-12-03,Fire,Closed,N,,6368.68,2022-12-26
CLM-000120,GC-001809,2022-12-09,2022-12-12,Theft,Open,N,,13896.97,
CLM-000121,GC-002789,2022-12-15,2022-12-15,Water Damage (Non-Storm),Closed,N,,7182.31,2023-01-14
CLM-000122,GC-003107,2022-12-18,2022-12-28,Vandalism,Open,N,,7629.15,
CLM-000123,GC-003845,2022-12-20,2022-12-20,Other Weather,Closed,N,,27350.4,2023-02-26
CLM-000124,GC-003929,2022-12-22,2022-12-30,Vandalism,Closed,N,,10948.55,2023-01-12
CLM-000125,GC-003349,2022-12-26,2022-12-30,Other Weather,Open,N,,1010.97,
CLM-000126,GC-004517,2022-12-29,2023-01-05,Theft,Closed,N,,26096.68,2023-01-05
CLM-000127,GC-004842,2022-12-31,2023-01-05,Vandalism,Closed,N,,6718.6,2023-01-07
CLM-000128,GC-002701,2022-12-31,2023-01-11,Other Weather,Closed,N,,9913.37,2023-01-10
CLM-000129,GC-002184,2023-01-02,2023-01-17,Vandalism,Closed,N,,6714.15,2023-02-11
CLM-000130,GC-003148,2023-01-07,2023-01-10,Fire,Closed,N,,4517.66,2023-01-28
CLM-000131,GC-003764,2023-01-07,2023-01-07,Other Weather,Closed,N,,13693.42,2023-02-17
CLM-000132,GC-000144,2023-01-07,2023-01-07,Fire,Closed,N,,8888.35,2023-03-01
CLM-000133,GC-001601,2023-01-10,2023-01-14,Theft,Closed,N,,852.4,2023-01-28
CLM-000134,GC-002202,2023-01-10,2023-01-11,Water Damage (Non-Storm),Closed,N,,2396.39,2023-02-14
CLM-000135,GC-000504,2023-01-11,2023-01-29,Fire,Closed,N,,2301.19,2023-01-14
CLM-000136,GC-002161,2023-01-12,2023-01-15,Vandalism,Closed,N,,11930.88,2023-01-28
CLM-000137,GC-000049,2023-01-18,2023-01-18,Other Weather,Closed,N,,10711.18,2023-03-16
CLM-000138,GC-003499,2023-01-20,2023-01-24,Lightning Strike,Closed,N,,6353.74,2023-01-30
CLM-000139,GC-003060,2023-01-21,2023-01-25,Vandalism,Closed,N,,4141.6,2023-03-06
CLM-000140,GC-001669,2023-01-24,2023-01-26,Fire,Closed,N,,52306.27,2023-01-28
CLM-000141,GC-004811,2023-01-31,2023-01-31,Water Damage (Non-Storm),Closed,N,,8281.92,2023-02-23
CLM-000142,GC-001018,2023-02-01,2023-02-03,Water Damage (Non-Storm),Closed,N,,6179.78,2023-03-13
CLM-000143,GC-004649,2023-02-01,2023-02-06,Theft,Closed,N,,14064.95,2023-03-04
CLM-000144,GC-002847,2023-02-14,2023-02-20,Water Damage (Non-Storm),Closed,N,,1829.17,2023-03-05
CLM-000145,GC-004054,2023-02-17,2023-02-17,Theft,Closed,N,,20909.48,2023-02-28
CLM-000146,GC-000651,2023-02-18,2023-02-19,Fire,Closed,N,,9559.19,2023-03-09
CLM-000147,GC-000706,2023-02-19,2023-02-21,Water Damage (Non-Storm),Closed,N,,6797.8,2023-03-05
CLM-000148,GC-003279,2023-02-22,2023-02-24,Liability,Closed,N,,4265.38,2023-05-01
CLM-000149,GC-004556,2023-02-23,2023-02-26,Water Damage (Non-Storm),Closed,N,,1242.65,2023-03-14
CLM-000150,GC-002485,2023-02-24,2023-02-24,Liability,Closed,N,,762.37,2023-05-25
CLM-000151,GC-003145,2023-02-27,2023-03-06,Water Damage (Non-Storm),Closed,N,,3353.41,2023-03-21
CLM-000152,GC-000344,2023-02-27,2023-03-06,Other Weather,Closed,N,,7087.74,2023-04-30
CLM-000153,GC-002754,2023-03-07,2023-03-07,Vandalism,Closed,N,,3359.48,2023-03-24
CLM-000154,GC-003347,2023-03-10,2023-03-12,Other Weather,Closed,N,,4620.17,2023-04-23
CLM-000155,GC-003828,2023-03-13,2023-03-17,Falling Tree (Non-Storm),Closed,N,,14250.59,2023-04-03
CLM-000156,GC-004858,2023-03-16,2023-03-17,Theft,Closed,N,,23634.52,2023-04-28
CLM-000157,GC-003050,2023-03-23,2023-03-24,Other Weather,Closed,N,,6562.78,2023-05-04
CLM-000158,GC-000898,2023-03-24,2023-03-25,Theft,Closed,N,,4981.05,2023-04-02
CLM-000159,GC-002189,2023-03-24,2023-03-26,Fire,Closed,N,,9032.47,2023-06-02
CLM-000160,GC-004186,2023-03-28,2023-03-29,Theft,Closed,N,,11044.59,2023-04-11
CLM-000161,GC-002364,2023-03-28,2023-04-06,Water Damage (Non-Storm),Closed,N,,6697.73,2023-04-04
CLM-000162,GC-003338,2023-03-30,2023-04-04,Liability,Closed,N,,632.04,2023-05-06
CLM-000163,GC-004904,2023-04-02,2023-04-04,Other Weather,Closed,N,,14167.01,2023-04-30
CLM-000164,GC-003603,2023-04-03,2023-04-05,Liability,Closed,N,,2413.05,2023-04-15
CLM-000165,GC-000028,2023-04-11,2023-04-15,Other Weather,Open,N,,2338.77,
CLM-000166,GC-003087,2023-04-11,2023-04-17,Water Damage (Non-Storm),Closed,N,,2508.93,2023-05-08
CLM-000167,GC-004726,2023-04-12,2023-04-13,Water Damage (Non-Storm),Closed,N,,644.63,2023-05-24
CLM-000168,GC-004018,2023-04-18,2023-04-20,Vandalism,Closed,N,,10809.46,2023-05-05
CLM-000169,GC-001062,2023-04-19,2023-04-23,Liability,Closed,N,,2051.5,2023-05-12
CLM-000170,GC-002437,2023-04-20,2023-04-21,Water Damage (Non-Storm),Closed,N,,43407.25,2023-05-07
CLM-000171,GC-001351,2023-04-21,2023-04-21,Liability,Closed,N,,5425.66,2023-05-08
CLM-000172,GC-002506,2023-04-21,2023-04-21,Fire,Closed,N,,14963.94,2023-05-03
CLM-000173,GC-003388,2023-04-23,2023-04-26,Vandalism,Closed,N,,17112.15,2023-05-29
CLM-000174,GC-001523,2023-04-29,2023-04-30,Other Weather,Open,N,,33428.78,
CLM-000175,GC-002510,2023-05-02,2023-05-05,Fire,Closed,N,,2387.52,2023-05-10
CLM-000176,GC-001287,2023-05-04,2023-05-04,Fire,Closed,N,,13684.01,2023-06-27
CLM-000177,GC-003742,2023-05-09,2023-05-22,Theft,Closed,N,,6734.2,2023-05-29
CLM-000178,GC-001779,2023-05-10,2023-05-13,Liability,Closed,N,,13649.56,2023-06-08
CLM-000179,GC-004245,2023-05-10,2023-05-18,Theft,Closed,N,,3517.35,2023-05-11
CLM-000180,GC-001242,2023-05-12,2023-05-13,Fire,Closed,N,,380.2,2023-07-11
CLM-000181,GC-004271,2023-05-15,2023-05-23,Fire,Closed,N,,4802.09,2023-06-25
CLM-000182,GC-004480,2023-05-18,2023-05-25,Liability,Closed,N,,6800.52,2023-06-30
CLM-000183,GC-000838,2023-05-18,2023-05-24,Liability,Closed,N,,5407.21,2023-07-09
CLM-000184,GC-002796,2023-05-26,2023-05-29,Vandalism,Closed,N,,12639.33,2023-06-14
CLM-000185,GC-004781,2023-05-29,2023-06-01,Fire,Closed,N,,5607.84,2023-07-17
CLM-000186,GC-002145,2023-05-30,2023-05-31,Fire,Open,N,,5172.33,
CLM-000187,GC-001318,2023-06-03,2023-06-09,Vandalism,Closed,N,,4322.31,2023-07-22
CLM-000188,GC-003374,2023-06-09,2023-06-11,Vandalism,Closed,N,,12075.32,2023-08-03
CLM-000189,GC-000366,2023-06-10,2023-06-10,Water Damage (Non-Storm),Closed,N,,4375.03,2023-07-01
CLM-000190,GC-001062,2023-06-11,2023-06-14,Theft,Closed,N,,90.87,2023-06-26
CLM-000191,GC-004381,2023-06-11,2023-06-13,Liability,Closed,N,,3946.09,2023-07-10
CLM-000192,GC-003246,2023-06-14,2023-06-21,Fire,Closed,N,,7538.55,2023-07-12
CLM-000193,GC-000770,2023-06-18,2023-06-29,Other Weather,Closed,N,,5292.74,2023-08-01
CLM-000194,GC-004951,2023-06-19,2023-06-22,Theft,Closed,N,,417.46,2023-08-16
CLM-000195,GC-004380,2023-06-22,2023-06-23,Vandalism,Open,N,,3090.62,
CLM-000196,GC-001557,2023-06-24,2023-06-25,Other Weather,Closed,N,,41808.35,2023-06-27
CLM-000197,GC-002520,2023-06-29,2023-07-05,Liability,Closed,N,,7897.83,2023-07-24
CLM-000198,GC-002460,2023-07-03,2023-07-05,Theft,Open,N,,7684.41,
CLM-000199,GC-001408,2023-07-08,2023-07-11,Vandalism,Closed,N,,5901.43,2023-07-18
CLM-000200,GC-001558,2023-07-12,2023-07-12,Other Weather,Closed,N,,934.12,2023-08-22
CLM-000201,GC-002350,2023-07-15,2023-07-15,Vandalism,Closed,N,,17933.54,2023-08-18
CLM-000202,GC-000661,2023-07-17,2023-07-20,Other Weather,Closed,N,,2773.25,2023-08-25
CLM-000203,GC-001669,2023-07-18,2023-07-20,Water Damage (Non-Storm),Closed,N,,29859.81,2023-09-06
CLM-000204,GC-003438,2023-07-27,2023-08-06,Vandalism,Closed,N,,14218.42,2023-08-20
CLM-000205,GC-002773,2023-07-28,2023-08-05,Theft,Closed,N,,3137.13,2023-08-11
CLM-000206,GC-003839,2023-07-30,2023-08-01,Other Weather,Closed,N,,3082.55,2023-08-16
CLM-000207,GC-002068,2023-08-02,2023-08-10,Theft,Open,N,,1528.89,
CLM-000208,GC-002754,2023-08-03,2023-08-05,Theft,Open,N,,2243.9,
CLM-000209,GC-001793,2023-08-03,2023-08-05,Other Weather,Closed,N,,1289.78,2023-08-14
CLM-000210,GC-004291,2023-08-03,2023-08-04,Fire,Open,N,,4174.72,
CLM-000211,GC-002782,2023-08-04,2023-08-05,Liability,Closed,N,,7350.24,2023-09-27
CLM-000212,GC-002654,2023-08-08,2023-08-09,Fire,Closed,N,,18671.55,2023-09-27
CLM-000213,GC-000407,2023-08-09,2023-08-18,Water Damage (Non-Storm),Open,N,,8051.16,
CLM-000214,GC-004937,2023-08-09,2023-08-18,Fire,Closed,N,,6536.71,2023-09-03
CLM-000215,GC-001134,2023-08-14,2023-08-17,Vandalism,Closed,N,,30215.25,2023-09-17
CLM-000216,GC-001893,2023-08-15,2023-08-22,Fire,Closed,N,,9582.48,2023-08-24
CLM-000217,GC-000694,2023-08-20,2023-08-20,Theft,Closed,N,,1593.34,2023-08-23
CLM-000218,GC-000897,2023-08-21,2023-08-25,Other Weather,Closed,N,,2034.34,2023-12-03
CLM-000219,GC-003942,2023-08-21,2023-08-22,Liability,Closed,N,,3003.08,2023-10-22
CLM-000220,GC-002264,2023-08-26,2023-08-28,Liability,Open,N,,60764.05,
CLM-000221,GC-004006,2023-09-01,2023-09-07,Fire,Closed,N,,711.9,2023-09-24
CLM-000222,GC-000127,2023-09-03,2023-09-04,Theft,Open,N,,4809.86,
CLM-000223,GC-000130,2023-09-05,2023-09-10,Vandalism,Closed,N,,241757.09,2023-11-20
CLM-000224,GC-002448,2023-09-15,2023-09-22,Fire,Closed,N,,3072.3,2023-10-06
CLM-000225,GC-000084,2023-09-18,2023-09-19,Liability,Closed,N,,996.59,2023-09-30
CLM-000226,GC-002764,2023-09-20,2023-09-23,Vandalism,Closed,N,,5421.68,2023-11-27
CLM-000227,GC-002133,2023-09-25,2023-09-27,Fire,Closed,N,,1440.5,2023-10-16
CLM-000228,GC-000174,2023-09-25,2023-09-26,Water Damage (Non-Storm),Closed,N,,4243.22,2023-11-06
CLM-000229,GC-004221,2023-09-27,2023-09-29,Theft,Closed,N,,4120.54,2023-10-28
CLM-000230,GC-000311,2023-09-28,2023-09-29,Water Damage (Non-Storm),Closed,N,,17704.84,2023-11-03
CLM-000231,GC-003542,2023-09-28,2023-10-08,Vandalism,Closed,N,,3511.3,2023-12-08
CLM-000232,GC-000358,2023-09-29,2023-10-01,Theft,Closed,N,,7911.48,2023-11-29
CLM-000233,GC-002009,2023-09-29,2023-09-29,Liability,Closed,N,,7257.6,2023-10-11
CLM-000234,GC-000847,2023-10-02,2023-10-10,Water Damage (Non-Storm),Closed,N,,10468.08,2023-11-12
CLM-000235,GC-004651,2023-10-04,2023-10-07,Other Weather,Closed,N,,8325.01,2023-11-16
CLM-000236,GC-002627,2023-10-05,2023-10-11,Water Damage (Non-Storm),Closed,N,,2697.98,2023-12-05
CLM-000237,GC-004306,2023-10-17,2023-10-17,Liability,Closed,N,,8287.66,2023-11-26
CLM-000238,GC-001094,2023-10-18,2023-10-24,Liability,Closed,N,,15161.18,2023-11-02
CLM-000239,GC-003432,2023-10-20,2023-10-23,Fire,Open,N,,8761.03,
CLM-000240,GC-002966,2023-10-21,2023-10-22,Theft,Closed,N,,66077.62,2023-11-25
CLM-000241,GC-004984,2023-10-26,2023-10-28,Liability,Closed,N,,25464.22,2023-11-02
CLM-000242,GC-003052,2023-10-27,2023-10-29,Theft,Closed,N,,3528.18,2023-12-11
CLM-000243,GC-003267,2023-11-02,2023-11-03,Liability,Closed,N,,15248.6,2023-12-15
CLM-000244,GC-000314,2023-11-03,2023-11-16,Fire,Closed,N,,12895.86,2023-11-23
CLM-000245,GC-000584,2023-11-04,2023-11-13,Fire,Closed,N,,6492.29,2023-11-15
CLM-000246,GC-003627,2023-11-08,2023-11-10,Other Weather,Open,N,,6462.93,
CLM-000247,GC-000724,2023-11-11,2023-11-18,Water Damage (Non-Storm),Closed,N,,1255.71,2023-12-12
CLM-000248,GC-004647,2023-11-16,2023-11-16,Liability,Closed,N,,9064.08,2024-01-09
CLM-000249,GC-001646,2023-11-17,2023-11-21,Fire,Open,N,,7292.15,
CLM-000250,GC-002387,2023-11-17,2023-11-20,Fire,Closed,N,,3090.14,2024-01-05
CLM-000251,GC-004380,2023-11-18,2023-12-02,Other Weather,Closed,N,,7566.93,2024-01-04
CLM-000252,GC-001349,2023-11-19,2023-11-21,Liability,Closed,N,,1581.6,2023-12-18
CLM-000253,GC-001952,2023-11-23,2023-11-24,Liability,Closed,N,,2470.0,2024-01-19
CLM-000254,GC-003760,2023-11-25,2023-12-02,Other Weather,Closed,N,,1318.82,2023-12-23
CLM-000255,GC-000636,2023-11-25,2023-11-25,Liability,Closed,N,,22273.75,2024-01-01
CLM-000256,GC-001908,2023-11-25,2023-11-25,Theft,Closed,N,,1898.8,2024-02-08
CLM-000257,GC-004994,2023-11-26,2023-11-26,Theft,Closed,N,,2649.79,2023-12-25
CLM-000258,GC-004504,2023-11-28,2023-12-09,Other Weather,Closed,N,,6891.88,2023-12-28
CLM-000259,GC-001601,2023-12-02,2023-12-06,Fire,Closed,N,,518.9,2023-12-30
CLM-000260,GC-000196,2023-12-06,2023-12-16,Water Damage (Non-Storm),Closed,N,,5002.12,2024-01-07
CLM-000261,GC-000414,2023-12-07,2023-12-15,Other Weather,Closed,N,,659.86,2024-01-07
CLM-000262,GC-000085,2023-12-11,2023-12-14,Theft,Closed,N,,17195.65,2024-02-19
CLM-000263,GC-002821,2023-12-15,2023-12-15,Liability,Open,N,,5563.19,
CLM-000264,GC-004846,2023-12-16,2023-12-24,Liability,Open,N,,14269.8,
CLM-000265,GC-004116,2023-12-17,2023-12-19,Other Weather,Closed,N,,14394.74,2023-12-22
CLM-000266,GC-004788,2023-12-17,2023-12-31,Other Weather,Closed,N,,14873.56,2024-02-06
CLM-000267,GC-004819,2023-12-20,2023-12-23,Fire,Closed,N,,38511.86,2024-01-18
CLM-000268,GC-004154,2023-12-23,2023-12-25,Vandalism,Closed,N,,5495.94,2024-02-15
CLM-000269,GC-001041,2023-12-23,2024-01-01,Liability,Closed,N,,5622.08,2024-01-16
CLM-000270,GC-004725,2023-12-25,2023-12-27,Fire,Open,N,,1748.14,
CLM-000271,GC-003063,2023-12-25,2024-01-01,Liability,Closed,N,,34000.1,2024-01-11
