claim_id,repair_category,estimated_cost,actual_cost,cost_date
CLM-000140,Electrical,52066.26,47477.3,2023-01-28
CLM-000141,Structural,8662.09,9072.3,2023-02-23
CLM-000142,Electrical,5373.69,5701.23,2023-03-13
CLM-000144,Contents,2199.57,2274.59,2023-03-05
CLM-000146,Contents,7017.74,6434.72,2023-03-09
CLM-000147,Plumbing,5053.91,4978.52,2023-03-05
CLM-000149,Contents,1568.9,1639.12,2023-03-14
CLM-000151,Contents,3043.89,3480.94,2023-03-21
CLM-000152,Contents,6229.11,6919.09,2023-04-30
CLM-000153,Roof,2610.05,3001.59,2023-03-24
CLM-000154,Plumbing,5199.15,5875.33,2023-04-23
CLM-000155,Electrical,13318.34,12914.81,2023-04-03
CLM-000157,Contents,5084.64,5505.58,2023-05-04
CLM-000159,Plumbing,8422.8,9111.88,2023-06-02
CLM-000161,Electrical,6777.6,7978.45,2023-04-04
CLM-000163,Structural,13923.18,12711.09,2023-04-30
CLM-000165,Plumbing,1868.49,,
CLM-000166,Contents,1967.24,1799.67,2023-05-08
CLM-000167,Roof,836.42,923.22,2023-05-24
CLM-000168,Roof,9858.48,10935.07,2023-05-05
CLM-000170,Roof,55660.72,63307.06,2023-05-07
CLM-000172,Contents,14059.07,13584.61,2023-05-03
CLM-000173,Electrical,15064.28,16076.75,2023-05-29
CLM-000174,Electrical,36461.17,,
CLM-000175,Electrical,2996.48,3382.11,2023-05-10
CLM-000176,Plumbing,11648.76,13091.17,2023-06-27
CLM-000180,Electrical,438.52,448.57,2023-07-11
CLM-000181,Electrical,5405.68,5612.55,2023-06-25
CLM-000184,Contents,12197.22,11762.47,2023-06-14
CLM-000185,Roof,3929.63,4223.22,2023-07-17
CLM-000186,Electrical,6109.38,,
CLM-000187,Contents,3236.07,2872.35,2023-07-22
CLM-000188,Structural,12051.77,12580.8,2023-08-03
CLM-000189,Structural,5044.49,5215.22,2023-07-01
CLM-000192,Plumbing,8990.21,9569.25,2023-07-12
CLM-000193,Plumbing,5382.76,5951.15,2023-08-01
CLM-000195,Electrical,3614.24,,
CLM-000196,Structural,30172.46,35266.13,2023-06-27
CLM-000199,Plumbing,4141.13,4322.02,2023-07-18
CLM-000200,Structural,1136.75,1128.27,2023-08-22
CLM-000201,Roof,20702.4,18646.01,2023-08-18
CLM-000202,Roof,2282.9,2665.58,2023-08-25
CLM-000203,Structural,23859.78,21857.16,2023-09-06
CLM-000204,Plumbing,13482.16,14717.56,2023-08-20
CLM-000206,Roof,2665.6,2528.23,2023-08-16
CLM-000209,Plumbing,1399.3,1482.06,2023-08-14
CLM-000210,Structural,4262.96,,
CLM-000212,Roof,20764.1,22577.11,2023-09-27
CLM-000213,Structural,6003.16,,
CLM-000214,Structural,4972.79,5310.12,2023-09-03
CLM-000215,Structural,24090.77,26881.68,2023-09-17
CLM-000216,Structural,11876.58,12253.01,2023-08-24
CLM-000218,Plumbing,2162.82,2521.95,2023-12-03
CLM-000221,Contents,529.87,538.0,2023-09-24
CLM-000223,Contents,197308.61,186613.6,2023-11-20
CLM-000224,Roof,3779.19,4016.97,2023-10-06
CLM-000226,Electrical,4949.64,5437.47,2023-11-27
CLM-000227,Contents,1227.26,1200.75,2023-10-16
CLM-000228,Roof,4030.34,3982.32,2023-11-06
CLM-000230,Structural,16435.18,16048.88,2023-11-03
CLM-000231,Roof,3672.79,3275.32,2023-12-08
CLM-000234,Roof,7846.14,8339.5,2023-11-12
CLM-000235,Contents,10755.37,11231.28,2023-11-16
CLM-000236,Electrical,2569.18,2400.05,2023-12-05
CLM-000239,Electrical,9282.87,,
CLM-000244,Electrical,14079.54,13044.46,2023-11-23
CLM-000245,Electrical,6251.72,6606.31,2023-11-15
CLM-000246,Electrical,7006.2,,
CLM-000247,Plumbing,1450.77,1348.44,2023-12-12
CLM-000249,Roof,6157.44,,
CLM-000250,Electrical,2346.89,2171.04,2024-01-05
CLM-000251,Plumbing,9421.12,9577.92,2024-01-04
CLM-000254,Roof,1615.26,1900.64,2023-12-23
CLM-000258,Plumbing,6795.6,6298.85,2023-12-28
CLM-000259,Roof,584.46,559.84,2023-12-30
CLM-000260,Structural,4021.24,4210.95,2024-01-07
CLM-000261,Contents,481.67,482.59,2024-01-07
CLM-000265,Contents,12212.99,14294.61,2023-12-22
CLM-000266,Structural,12895.42,13038.55,2024-02-06
CLM-000267,Electrical,48532.75,52053.92,2024-01-18
CLM-000268,Electrical,5005.85,4973.15,2024-02-15
CLM-000270,Structural,1456.57,,
CLM-000272,Contents,899.0,1007.49,2024-01-26
CLM-000274,Contents,43037.38,39724.13,2024-02-14
CLM-000276,Roof,3068.67,3144.7,2024-01-30
CLM-000277,Contents,45837.92,43540.45,2024-02-02
CLM-000279,Electrical,6406.41,7441.04,2024-02-11
CLM-000280,Plumbing,24718.33,26039.2,2024-01-26
CLM-000281,Electrical,24467.77,28183.08,2024-01-24
CLM-000282,Plumbing,18712.33,17486.52,2024-02-08
CLM-000283,Structural,18823.27,20354.54,2024-01-14
CLM-000284,Roof,8801.13,10073.76,2024-01-13
CLM-000286,Structural,21177.07,20210.69,2024-02-04
CLM-000287,Plumbing,21469.57,23082.18,2024-03-11
CLM-000288,Structural,2848.68,,
CLM-000290,Electrical,9818.03,8969.46,2024-02-04
CLM-000292,Roof,5473.26,4954.75,2024-03-18
CLM-000293,Structural,11093.42,11100.66,2024-04-09
CLM-000295,Electrical,5392.23,5203.74,2024-03-23
CLM-000296,Structural,18612.53,16988.08,2024-03-17
CLM-000297,Roof,30604.18,,
CLM-000298,Structural,4884.2,5472.46,2024-04-13
CLM-000299,Electrical,5359.65,6291.17,2024-03-14
CLM-000303,Plumbing,2355.34,2724.82,2024-03-06
CLM-000304,Structural,14390.09,13274.79,2024-04-05
CLM-000307,Plumbing,38735.82,41454.88,2024-03-27
CLM-000308,Plumbing,4428.62,4752.55,2024-05-31
CLM-000310,Electrical,10458.44,11064.34,2024-04-03
CLM-000312,Roof,3553.63,,
CLM-000313,Contents,16445.98,17268.05,2024-04-24
CLM-000315,Plumbing,2129.9,2080.32,2024-03-30
CLM-000317,Roof,1297.37,1243.4,2024-03-29
CLM-000318,Structural,8233.39,8574.06,2024-04-26
CLM-000320,Plumbing,28613.8,27055.74,2024-04-20
CLM-000321,Structural,78357.87,81286.4,2024-04-07
CLM-000322,Plumbing,19118.66,21180.59,2024-05-16
CLM-000323,Plumbing,1102.2,1278.08,2024-05-06
CLM-000325,Electrical,8789.16,,
CLM-000326,Contents,9001.35,8888.85,2024-05-24
CLM-000327,Roof,6452.07,6794.18,2024-05-24
CLM-000329,Electrical,2917.77,,
CLM-000330,Structural,8996.72,8576.15,2024-04-23
CLM-000331,Contents,6423.06,7483.59,2024-05-23
CLM-000334,Electrical,2986.52,3367.0,2024-06-06
CLM-000335,Electrical,25245.94,24547.83,2024-05-13
CLM-000336,Structural,4421.56,4634.29,2024-05-06
CLM-000337,Plumbing,1414.1,1635.99,2024-05-19
CLM-000340,Contents,4922.57,5440.95,2024-05-13
CLM-000341,Plumbing,6168.94,5505.3,2024-07-25
CLM-000342,Plumbing,8992.71,9258.28,2024-08-03
CLM-000343,Plumbing,9136.19,10319.43,2024-07-23
CLM-000345,Contents,178.21,183.67,2024-05-27
CLM-000347,Contents,6835.67,6277.22,2024-06-29
CLM-000348,Contents,15678.97,15231.42,2024-05-21
CLM-000349,Roof,868.92,876.76,2024-06-10
CLM-000350,Plumbing,4372.31,5154.84,2024-06-12
CLM-000351,Roof,675.83,683.35,2024-08-05
CLM-000353,Electrical,1665.7,1505.19,2024-06-13
CLM-000354,Contents,3188.23,3222.04,2024-07-19
CLM-000361,Electrical,1331.12,1247.45,2024-06-22
CLM-000363,Roof,1386.54,1285.33,2024-06-18
CLM-000365,Electrical,3518.76,3284.05,2024-06-24
CLM-000368,Structural,2180.92,2376.42,2024-06-26
CLM-000369,Structural,10020.84,,
CLM-000371,Plumbing,1901.47,1728.38,2024-07-08
CLM-000372,Roof,2419.36,2240.06,2024-08-02
CLM-000373,Electrical,13368.82,14674.16,2024-08-19
CLM-000375,Electrical,1496.29,1518.7,2024-07-30
CLM-000376,Structural,26408.72,23765.89,2024-08-09
CLM-000378,Roof,33341.92,31575.4,2024-07-21
CLM-000379,Electrical,6005.38,6563.44,2024-08-12
CLM-000380,Plumbing,1464.59,1582.15,2024-08-13
CLM-000381,Electrical,2713.54,3082.73,2024-08-25
CLM-000383,Contents,1426.7,1311.29,2024-07-29
CLM-000384,Structural,289091.59,303472.66,2024-07-28
CLM-000385,Electrical,5930.43,5505.9,2024-07-29
CLM-000387,Plumbing,45314.14,45465.56,2024-08-23
CLM-000388,Structural,60364.08,59539.9,2024-08-26
CLM-000391,Structural,2700.81,2810.9,2024-08-11
CLM-000393,Roof,5319.65,5243.88,2024-08-16
CLM-000394,Structural,12234.91,12849.04,2024-08-30
CLM-000398,Electrical,17104.82,15604.09,2024-09-13
CLM-000399,Structural,4883.67,4868.49,2024-09-11
CLM-000400,Roof,3544.96,3295.5,2024-10-11
CLM-000402,Structural,7417.76,7995.06,2024-10-22
CLM-000404,Electrical,7059.31,8052.12,2024-09-05
CLM-000406,Contents,1790.05,2101.52,2024-09-08
CLM-000408,Structural,3451.23,3475.16,2024-09-13
CLM-000409,Roof,504.53,492.85,2024-12-02
CLM-000410,Contents,2347.48,2503.27,2024-10-12
CLM-000412,Contents,613.78,639.92,2024-09-21
CLM-000414,Electrical,2224.3,2228.78,2024-11-24
CLM-000416,Contents,5179.66,5026.36,2024-09-18
CLM-000417,Structural,12068.34,12931.24,2024-10-11
CLM-000419,Electrical,38151.04,39009.03,2024-09-26
CLM-000420,Structural,1136.29,1301.31,2024-10-23
CLM-000422,Roof,2199.27,2007.76,2024-10-31
CLM-000424,Electrical,12662.36,14055.86,2024-10-09
CLM-000425,Structural,27089.24,27273.13,2024-10-11
CLM-000426,Electrical,9390.61,9286.0,2024-10-07
CLM-000427,Roof,1181.62,1363.63,2024-10-08
CLM-000428,Electrical,2533.8,2789.04,2024-11-09
CLM-000429,Electrical,10621.94,10357.76,2024-11-07
CLM-000430,Plumbing,4073.94,4288.0,2024-10-29
CLM-000431,Electrical,9927.35,11672.65,2024-11-14
CLM-000432,Electrical,1724.16,1985.88,2024-10-28
CLM-000433,Contents,12232.73,13188.05,2024-10-22
CLM-000435,Electrical,1270.84,1239.22,2024-11-08
CLM-000438,Roof,14248.21,14428.3,2024-10-29
CLM-000440,Contents,3523.93,3488.28,2024-11-13
CLM-000441,Contents,5223.01,6098.6,2024-11-02
CLM-000443,Structural,16683.28,18802.68,2024-11-14
CLM-000444,Electrical,11156.12,11956.22,2024-12-02
CLM-000445,Electrical,2741.08,2877.75,2024-11-07
CLM-000446,Roof,7288.28,7107.43,2024-12-23
CLM-000448,Structural,4081.95,4143.19,2024-11-10
CLM-000449,Plumbing,3726.32,3634.94,2024-12-01
CLM-000451,Structural,20523.08,21619.74,2025-02-02
CLM-000452,Electrical,5837.41,5390.65,2024-11-20
CLM-000458,Roof,10831.5,10477.12,2024-12-12
CLM-000460,Plumbing,9819.26,10729.64,2024-11-29
CLM-000461,Roof,4717.21,4552.15,2025-01-19
CLM-000462,Roof,2070.7,2015.82,2024-12-06
CLM-000463,Plumbing,24255.67,27862.68,2024-12-08
CLM-000464,Electrical,7625.16,7888.27,2024-12-13
CLM-000465,Structural,7466.69,7824.21,2024-12-26
CLM-000467,Contents,432.53,387.12,2025-01-01
CLM-000468,Electrical,500.35,480.81,2024-12-24
CLM-000469,Structural,89640.61,87427.14,2025-02-03
CLM-000470,Electrical,1349.01,1564.27,2024-12-23
CLM-000472,Electrical,16918.64,19089.96,2024-12-19
CLM-000473,Plumbing,8286.72,8023.56,2025-01-02
CLM-000474,Roof,3376.12,3905.45,2024-12-15
CLM-000475,Structural,4217.14,3886.51,2024-12-28
CLM-000476,Contents,314120.73,340218.67,2025-01-17
CLM-000477,Electrical,10888.35,12644.37,2025-01-29
CLM-000481,Roof,10353.48,12198.43,2025-01-22
CLM-000482,Contents,14062.96,12612.12,2025-01-08
CLM-000484,Structural,8136.6,8441.42,2025-02-11
CLM-000485,Structural,189109.63,182084.64,2025-02-11
CLM-000486,Roof,6280.58,6589.24,2025-01-15
CLM-000488,Contents,12609.93,12448.95,2025-03-18
CLM-000491,Structural,4107.52,4473.75,2025-02-06
CLM-000492,Contents,18669.75,21645.0,2025-03-07
CLM-000493,Plumbing,9845.26,10573.95,2025-01-26
CLM-000494,Structural,5263.43,4991.75,2025-02-03
CLM-000495,Plumbing,24462.71,28333.53,2025-02-08
CLM-000497,Contents,3180.55,3681.5,2025-03-16
CLM-000500,Electrical,9650.21,8652.94,2025-02-14
CLM-000502,Electrical,2366.85,,
CLM-000503,Plumbing,2765.3,3141.85,2025-02-16
CLM-000505,Plumbing,5215.07,,
CLM-000506,Plumbing,11142.1,10149.71,2025-02-10
CLM-000508,Roof,4115.62,4673.67,2025-02-13
CLM-000509,Structural,3533.12,,
CLM-000510,Structural,988.27,922.96,2025-03-28
CLM-000511,Roof,5534.53,5458.11,2025-03-07
CLM-000512,Structural,3798.83,3960.2,2025-03-18
CLM-000513,Electrical,5504.65,4914.13,2025-02-27
CLM-000515,Roof,4689.99,,
CLM-000516,Structural,11551.44,12406.69,2025-03-04
CLM-000517,Plumbing,42907.94,,
CLM-000518,Contents,11218.69,11017.33,2025-03-27
CLM-000519,Contents,3165.38,3641.17,2025-03-07
CLM-000520,Structural,11391.54,,
CLM-000521,Structural,9841.74,10974.59,2025-03-17
CLM-000525,Electrical,4947.51,4992.36,2025-04-17
CLM-000526,Electrical,14930.76,13600.94,2025-03-26
CLM-000528,Plumbing,470.69,488.48,2025-04-03
CLM-000529,Roof,2658.63,2761.04,2025-03-18
CLM-000530,Electrical,4428.0,4286.61,2025-03-28
CLM-000531,Structural,3955.82,,
CLM-000532,Plumbing,3680.58,3610.35,2025-04-29
CLM-000533,Electrical,3508.24,3342.4,2025-04-14
CLM-000535,Plumbing,10188.04,10705.9,2025-06-10
CLM-000536,Electrical,38479.42,35940.63,2025-05-04
CLM-000539,Roof,5486.33,,
CLM-000540,Electrical,6435.3,6847.54,2025-06-14
CLM-000541,Plumbing,4912.63,5594.08,2025-05-19
CLM-000542,Structural,2695.75,2976.93,2025-04-20
CLM-000544,Electrical,31542.13,31710.43,2025-04-19
CLM-000545,Structural,8945.71,8802.16,2025-05-08
CLM-000546,Structural,4246.01,,
CLM-000548,Plumbing,6007.69,6619.76,2025-05-16
CLM-000550,Roof,7409.71,6546.85,2025-06-02
CLM-000552,Plumbing,15543.84,17370.84,2025-06-22
CLM-000558,Structural,10903.79,12786.79,2025-05-27
CLM-000560,Plumbing,3441.36,3184.34,2025-07-12
CLM-000562,Plumbing,3983.97,4170.74,2025-07-19
CLM-000570,Roof,7083.54,6928.26,2025-07-27
CLM-000571,Contents,2638.62,2775.25,2025-08-07
CLM-000572,Electrical,995.67,927.08,2025-07-27
CLM-000573,Electrical,4872.59,,
CLM-000576,Contents,5376.26,4963.87,2025-06-29
CLM-000577,Plumbing,485.51,556.73,2025-07-24
CLM-000578,Contents,4046.97,4181.53,2025-07-08
CLM-000579,Plumbing,5833.68,6634.24,2025-07-12
CLM-000580,Contents,15351.12,15765.25,2025-06-21
CLM-000581,Plumbing,65765.63,64209.1,2025-07-26
CLM-000582,Structural,4713.23,4726.01,2025-07-03
CLM-000583,Roof,40975.21,43688.93,2025-07-31
CLM-000584,Contents,7602.57,7363.39,2025-07-29
CLM-000585,Contents,6047.49,6469.16,2025-07-10
CLM-000586,Contents,4860.69,4335.22,2025-07-18
CLM-000587,Plumbing,6999.16,7527.79,2025-07-02
CLM-000590,Contents,1188.15,1293.65,2025-07-09
CLM-000591,Plumbing,6937.25,8040.38,2025-09-26
CLM-000592,Contents,2624.43,3072.25,2025-08-05
CLM-000595,Electrical,3561.78,3926.19,2025-07-21
CLM-000596,Contents,3088.59,2908.01,2025-07-30
CLM-000597,Plumbing,4710.75,5014.31,2025-07-24
CLM-000599,Structural,2844.77,,
CLM-000601,Electrical,1046.93,1050.87,2025-07-18
CLM-000603,Plumbing,13014.25,14809.1,2025-07-23
CLM-000606,Plumbing,14458.09,14911.88,2025-09-01
CLM-000608,Plumbing,4252.52,3944.92,2025-08-20
CLM-000610,Roof,23450.84,25241.68,2025-07-29
CLM-000612,Plumbing,56850.75,56603.25,2025-08-03
CLM-000614,Plumbing,3520.1,3253.99,2025-08-14
CLM-000615,Plumbing,7333.95,8611.4,2025-07-26
CLM-000617,Roof,35410.04,38320.29,2025-07-31
CLM-000618,Plumbing,2400.25,2738.06,2025-09-05
CLM-000619,Electrical,56076.21,57921.86,2025-09-28
CLM-000621,Roof,4027.16,4227.11,2025-08-13
CLM-000622,Structural,1296.85,1259.19,2025-09-16
CLM-000623,Contents,21656.79,19169.81,2025-10-28
CLM-000624,Electrical,9307.81,9182.04,2025-10-30
CLM-000625,Structural,1954.35,1991.51,2025-09-06
CLM-000626,Plumbing,847.53,920.16,2025-08-20
CLM-000627,Contents,15039.04,16955.15,2025-09-25
CLM-000628,Contents,3253.83,2988.36,2025-09-13
CLM-000631,Roof,2344.98,2637.87,2025-09-14
CLM-000633,Contents,6763.6,6505.37,2025-10-27
CLM-000635,Plumbing,11124.12,12602.55,2025-10-02
CLM-000636,Plumbing,18175.17,19889.11,2025-09-15
CLM-000637,Electrical,10976.55,12141.7,2025-09-20
CLM-000638,Plumbing,1313.62,1232.35,2025-09-24
CLM-000641,Structural,5854.32,5817.27,2025-10-03
CLM-000643,Structural,4604.55,4363.53,2025-09-26
CLM-000644,Plumbing,7879.87,7136.11,2025-10-15
CLM-000645,Plumbing,14184.72,14073.44,2025-10-15
CLM-000647,Electrical,23256.04,20754.72,2025-09-29
CLM-000648,Structural,1693.86,1980.44,2025-12-05
CLM-000649,Structural,13009.83,,
CLM-000650,Roof,2551.29,2525.3,2025-12-12
CLM-000651,Electrical,4491.53,3956.33,2025-10-04
CLM-000652,Contents,2810.43,3079.91,2025-11-01
CLM-000654,Electrical,8395.56,9795.78,2025-10-14
CLM-000655,Plumbing,1413.51,1667.34,2025-10-10
CLM-000656,Roof,3009.51,2686.73,2025-10-18
CLM-000659,Roof,6551.84,5949.42,2025-11-17
CLM-000660,Electrical,3724.66,3874.26,2025-11-01
CLM-000661,Contents,4335.68,3958.63,2026-01-13
CLM-000662,Contents,878.11,986.25,2025-11-06
CLM-000663,Contents,4789.79,5020.07,2025-10-24
CLM-000664,Structural,5411.02,5494.27,2025-11-07
CLM-000665,Roof,6914.23,7553.85,2025-11-07
CLM-000666,Electrical,3514.28,3818.84,2025-11-05
CLM-000667,Structural,9717.17,,
CLM-000668,Electrical,6977.1,6529.74,2025-10-24
CLM-000671,Structural,1338.96,1576.89,2025-11-23
CLM-000672,Structural,16694.1,19219.31,2025-11-06
CLM-000674,Electrical,15666.38,17172.28,2025-11-01
CLM-000676,Electrical,8540.86,8977.94,2025-12-04
CLM-000677,Roof,1666.25,1513.43,2025-11-21
CLM-000679,Plumbing,2037.97,2276.67,2025-12-03
CLM-000680,Roof,6624.47,6925.74,2025-11-27
CLM-000681,Structural,44081.27,45114.96,2025-12-06
CLM-000682,Contents,2347.39,2752.25,2026-02-19
CLM-000683,Structural,15257.62,17560.48,2025-12-22
CLM-000684,Roof,23102.67,22699.43,2025-12-09
CLM-000685,Contents,8722.87,9925.54,2026-01-16
CLM-000687,Contents,4048.18,4089.37,2025-12-17
CLM-000689,Electrical,17844.1,20781.17,2026-01-03
CLM-000691,Electrical,3021.35,3392.38,2025-11-20
CLM-000693,Electrical,1854.09,1919.31,2025-12-15
CLM-000694,Structural,31768.11,29717.83,2025-12-07
CLM-000696,Structural,7632.68,7454.72,2025-12-17
CLM-000697,Contents,25787.71,29644.8,2026-02-24
CLM-000698,Structural,18508.17,20364.13,2026-01-14
CLM-000704,Plumbing,31848.86,33309.34,2026-02-03
CLM-000705,Contents,1407.19,1556.1,2025-12-20
CLM-000707,Plumbing,2065.09,2155.73,2026-01-07
CLM-000708,Structural,12593.83,13387.65,2025-12-24
CLM-000713,Roof,4316.26,4746.77,2026-01-23
CLM-000714,Electrical,2027.19,1812.7,2026-03-05
CLM-000715,Structural,5959.09,5503.46,2026-02-24
CLM-000716,Electrical,636.94,638.98,2026-01-03
CLM-000717,Structural,311.57,332.13,2026-01-07
CLM-000718,Roof,11151.49,10537.15,2026-02-14
CLM-000719,Roof,9943.21,10629.17,2026-01-15
CLM-000720,Structural,3851.0,3508.91,2026-01-10
CLM-000721,Plumbing,4160.03,,
CLM-000722,Contents,5977.64,6911.65,2026-02-10
CLM-000723,Roof,21907.02,23795.57,2026-01-20
CLM-000725,Roof,3739.96,4207.19,2026-01-30
CLM-000726,Contents,3111.18,2993.28,2026-03-09
CLM-000728,Plumbing,4901.29,4434.5,2026-02-20
CLM-000730,Plumbing,23873.85,26744.53,2026-02-04
CLM-000731,Electrical,256.5,246.17,2026-04-03
CLM-000732,Plumbing,9722.01,9449.34,2026-03-16
CLM-000734,Structural,15930.93,,
CLM-000735,Structural,20519.75,,
CLM-000737,Roof,15871.3,14856.8,2026-03-10
CLM-000739,Plumbing,62856.56,64449.44,2026-03-05
CLM-000740,Contents,3252.3,3463.04,2026-04-06
CLM-000741,Electrical,8847.06,9060.04,2026-02-16
CLM-000742,Structural,3250.21,,
CLM-000743,Structural,4266.18,4070.9,2026-03-03
CLM-000744,Roof,2447.31,2160.46,2026-02-22
CLM-000745,Plumbing,3132.93,2790.64,2026-02-09
CLM-000746,Roof,2471.74,2892.86,2026-03-09
CLM-000747,Electrical,9915.68,10916.19,2026-03-02
CLM-000748,Plumbing,1569.01,1723.66,2026-02-28
CLM-000749,Structural,13360.19,13966.02,2026-02-18
CLM-000750,Structural,8048.17,9196.62,2026-05-14
CLM-000751,Electrical,5296.96,5641.87,2026-03-14
CLM-000752,Structural,55983.71,53176.12,2026-03-09
CLM-000753,Contents,199.7,231.94,2026-04-18
